  ###################################################################################################
  # Eta photoproduction Single Energy Solution 1 - Imaginary Part
  # Reaction: gamma p --> eta p
  # Publication: H. Osmanović et all,  Phys. Rev. C 97, 015207 – Published 31 January 2018
  # Database: data.pwatuzla.com
  ###################################################################################################  
       W           E0+          E0-         M0+         M0-         E1+         E1-         M1+         M1-         E2+         E2-         M2+         M2-         E3+         E3-         M3+         M3-         E4+         E4-         M4+         M4-         E5+         E5-         M5+         M5-       ErrE0+      ErrE0-      ErrM0+      ErrM0-      ErrE1+      ErrE1-      ErrM1+      ErrM1-      ErrE2+      ErrE2-      ErrM2+      ErrM2-      ErrE3+      ErrE3-      ErrM3+      ErrM3-      ErrE4+      ErrE4-      ErrM4+      ErrM4-      ErrE5+      ErrE5-      ErrM5+      ErrM5- 
    1498.334     20.8253      0.0000      0.0000      0.0000      0.1278      0.0000      0.1443      0.7710      0.0069      0.2433      0.0032      0.2739     -0.0065     -0.0027      0.0099     -0.0119      0.0019      0.0025      0.0010      0.0008      0.0002     -0.0000     -0.0000     -0.0001      0.0571      0.0000      0.0000      0.0000      0.0484      0.0000      0.0583      0.1805      0.0273      0.0636      0.0315      0.0599      0.0089      0.0150      0.0105      0.0143      0.0025      0.0029      0.0027      0.0028      0.0005      0.0005      0.0005      0.0005
    1500.961     20.8551      0.0000      0.0000      0.0000      0.0894      0.0000      0.1050      0.7944      0.0066      0.2801     -0.0129      0.2883     -0.0046      0.0143      0.0107     -0.0122      0.0054      0.0096      0.0070      0.0018     -0.0001      0.0000     -0.0001      0.0001      0.0259      0.0000      0.0000      0.0000      0.0454      0.0000      0.0592      0.1808      0.0286      0.0723      0.0339      0.0670      0.0145      0.0272      0.0169      0.0260      0.0056      0.0086      0.0066      0.0081      0.0019      0.0021      0.0020      0.0020
    1513.908     19.6771      0.0000      0.0000      0.0000      0.0925      0.0000      0.0318      0.7927     -0.0149      0.4058     -0.0576      0.4322     -0.0034      0.0305     -0.0043     -0.0305     -0.0067      0.0243      0.0114      0.0142     -0.0066      0.0038      0.0022      0.0065      0.0532      0.0000      0.0000      0.0000      0.0442      0.0000      0.0585      0.1729      0.0284      0.0738      0.0339      0.0662      0.0206      0.0411      0.0248      0.0372      0.0103      0.0177      0.0118      0.0168      0.0046      0.0064      0.0050      0.0063
    1529.263     17.1907      0.0000      0.0000      0.0000      0.2805      0.0000      0.2452      0.8608     -0.0038      0.4541     -0.1275      0.5193     -0.0181      0.1123     -0.0109     -0.0757      0.0137      0.0300      0.0168     -0.0104      0.0018     -0.0106      0.0120      0.0187      0.0857      0.0000      0.0000      0.0000      0.0463      0.0000      0.0612      0.1644      0.0274      0.0747      0.0327      0.0620      0.0192      0.0459      0.0244      0.0381      0.0127      0.0230      0.0158      0.0188      0.0105      0.0124      0.0105      0.0150
    1541.850     14.6857      0.0000      0.0000      0.0000      0.3115      0.0000      0.3129      0.7591      0.0195      0.5061     -0.1545      0.4692     -0.0184      0.0871     -0.0318     -0.0581      0.0123      0.0017      0.0094     -0.0128      0.0113     -0.0207      0.0060      0.0237      0.1121      0.0000      0.0000      0.0000      0.0506      0.0000      0.0627      0.1579      0.0294      0.0710      0.0336      0.0593      0.0185      0.0327      0.0202      0.0305      0.0089      0.0133      0.0098      0.0125      0.0038      0.0048      0.0041      0.0048
    1554.275     12.1335      0.0000      0.0000      0.0000      0.2814      0.0000      0.2525      0.4268     -0.0219      0.5351     -0.2044      0.4073      0.0179      0.0533      0.0038     -0.0283      0.0001     -0.0217      0.0067      0.0071      0.0048     -0.0066     -0.0081     -0.0018      0.1342      0.0000      0.0000      0.0000      0.0565      0.0000      0.0641      0.1603      0.0333      0.0810      0.0368      0.0614      0.0217      0.0360      0.0211      0.0348      0.0115      0.0184      0.0130      0.0161      0.0057      0.0072      0.0058      0.0073
    1566.482      9.6218      0.0000      0.0000      0.0000      0.2473      0.0000      0.3065      0.2221     -0.0417      0.5334     -0.1906      0.3416      0.0246      0.0669      0.0262     -0.0110     -0.0129     -0.0270     -0.0032      0.0221      0.0108     -0.0021     -0.0083     -0.0044      0.1956      0.0000      0.0000      0.0000      0.0841      0.0000      0.0856      0.1918      0.0506      0.1012      0.0526      0.0841      0.0298      0.0432      0.0310      0.0454      0.0182      0.0251      0.0199      0.0234      0.0086      0.0099      0.0085      0.0103
    1578.535      7.2898      0.0000      0.0000      0.0000      0.2717      0.0000      0.5089      0.3166     -0.0041      0.5326     -0.1388      0.2339      0.0297      0.0916      0.0463     -0.0400     -0.0038     -0.0012     -0.0026      0.0250      0.0183      0.0017      0.0089     -0.0097      0.1616      0.0000      0.0000      0.0000      0.0667      0.0000      0.0689      0.1762      0.0389      0.1026      0.0425      0.0715      0.0239      0.0450      0.0271      0.0416      0.0158      0.0299      0.0174      0.0223      0.0099      0.0140      0.0092      0.0122
    1590.378      5.1402      0.0000      0.0000      0.0000      0.2646      0.0000      0.6424      0.4558      0.0024      0.4317     -0.1623      0.2552      0.0184      0.0902      0.0311     -0.0416     -0.0151      0.0118     -0.0260      0.0294      0.0158      0.0083      0.0159     -0.0056      0.1848      0.0000      0.0000      0.0000      0.0768      0.0000      0.0760      0.1798      0.0434      0.1046      0.0448      0.0742      0.0276      0.0498      0.0278      0.0400      0.0182      0.0268      0.0204      0.0269      0.0108      0.0151      0.0104      0.0135
    1602.017      3.3511      0.0000      0.0000      0.0000      0.2841      0.0000      0.6973      0.4546      0.0347      0.3619     -0.1589      0.2253      0.0187      0.0729      0.0294     -0.0188     -0.0187      0.0331     -0.0478      0.0421      0.0079      0.0004      0.0137      0.0069      0.1622      0.0000      0.0000      0.0000      0.0639      0.0000      0.0641      0.1650      0.0353      0.1044      0.0394      0.0697      0.0244      0.0558      0.0231      0.0349      0.0154      0.0252      0.0187      0.0310      0.0108      0.0176      0.0104      0.0128
    1613.572      2.0196      0.0000      0.0000      0.0000      0.3052      0.0000      0.7415      0.1351      0.0887      0.3867     -0.2076      0.2577      0.0105      0.0563      0.0392      0.0661     -0.0037      0.0411      0.0495     -0.0985      0.0208      0.0342      0.0066     -0.0174      0.1537      0.0000      0.0000      0.0000      0.0562      0.0000      0.0574      0.1511      0.0333      0.0958      0.0350      0.0610      0.0212      0.0462      0.0208      0.0325      0.0142      0.0240      0.0200      0.0273      0.0113      0.0187      0.0114      0.0130
    1624.871      0.9895      0.0000      0.0000      0.0000      0.3409      0.0000      0.8153     -0.0957      0.1241      0.3569     -0.1837      0.1635      0.0203      0.0762      0.0434      0.0668     -0.0013      0.0773      0.0237     -0.0761      0.0216      0.0562     -0.0131     -0.0066      0.1496      0.0000      0.0000      0.0000      0.0558      0.0000      0.0557      0.1516      0.0296      0.0974      0.0325      0.0593      0.0204      0.0458      0.0198      0.0318      0.0132      0.0252      0.0155      0.0244      0.0099      0.0188      0.0102      0.0095
    1635.978      0.2402      0.0000      0.0000      0.0000      0.3342      0.0000      0.8822     -0.2863      0.0853      0.2183     -0.2177      0.1930      0.0126      0.1304      0.0373      0.0556      0.0099      0.0566      0.0218     -0.0440      0.0063      0.0609     -0.0272     -0.0046      0.1427      0.0000      0.0000      0.0000      0.0525      0.0000      0.0527      0.1402      0.0278      0.0954      0.0323      0.0608      0.0203      0.0433      0.0223      0.0324      0.0134      0.0264      0.0183      0.0298      0.0081      0.0188      0.0115      0.0072
    1646.896     -0.1543      0.0000      0.0000      0.0000      0.3816      0.0000      0.9644     -0.5264      0.0529      0.1649     -0.2575      0.1454      0.0026      0.1593      0.0012      0.0359      0.0002      0.0627     -0.0300     -0.0009     -0.0138      0.0572     -0.0401      0.0005      0.1397      0.0000      0.0000      0.0000      0.0531      0.0000      0.0535      0.1364      0.0290      0.0931      0.0315      0.0561      0.0200      0.0413      0.0210      0.0319      0.0134      0.0262      0.0151      0.0211      0.0074      0.0138      0.0094      0.0070
    1657.629     -0.1927      0.0000      0.0000      0.0000      0.4162      0.0000      0.9942     -0.6217      0.0455      0.1660     -0.3031      0.1426     -0.0015      0.1653     -0.0138      0.0567     -0.0200      0.0377     -0.0317     -0.0213      0.0004      0.0297     -0.0054     -0.0095      0.1306      0.0000      0.0000      0.0000      0.0517      0.0000      0.0514      0.1296      0.0318      0.0894      0.0305      0.0516      0.0213      0.0432      0.0203      0.0275      0.0146      0.0304      0.0125      0.0164      0.0075      0.0136      0.0082      0.0062
    1671.271     -0.1816      0.0000      0.0000      0.0000      0.3871      0.0000      0.9451     -0.7234      0.0106      0.1749     -0.3612      0.2187     -0.0378      0.1109     -0.0410      0.0926     -0.0365      0.0178     -0.0473     -0.0223     -0.0177      0.0056     -0.0120      0.0058      0.1185      0.0000      0.0000      0.0000      0.0455      0.0000      0.0461      0.1158      0.0267      0.0823      0.0263      0.0437      0.0181      0.0341      0.0167      0.0223      0.0114      0.0217      0.0112      0.0123      0.0063      0.0112      0.0061      0.0067
    1691.639     -0.0055      0.0000      0.0000      0.0000      0.4283      0.0000      1.0559     -0.8999      0.0356      0.3463     -0.3258      0.2530     -0.0399      0.1000     -0.0710      0.1086     -0.0287      0.0087     -0.0373     -0.0322     -0.0002     -0.0004     -0.0100     -0.0037      0.1199      0.0000      0.0000      0.0000      0.0467      0.0000      0.0464      0.1221      0.0277      0.0828      0.0275      0.0502      0.0184      0.0385      0.0174      0.0246      0.0134      0.0272      0.0153      0.0151      0.0065      0.0129      0.0083      0.0088
    1711.271     -0.0551      0.0000      0.0000      0.0000      0.4847      0.0000      1.2426     -0.9891      0.0659      0.6023     -0.2627      0.1960     -0.0238      0.0882     -0.0637      0.0878      0.0094      0.0224     -0.0095     -0.0404      0.0141      0.0007     -0.0176     -0.0055      0.1120      0.0000      0.0000      0.0000      0.0452      0.0000      0.0427      0.1147      0.0260      0.0795      0.0242      0.0453      0.0179      0.0366      0.0160      0.0261      0.0130      0.0216      0.0122      0.0156      0.0064      0.0124      0.0080      0.0082
    1730.083     -0.1440      0.0000      0.0000      0.0000      0.4047      0.0000      1.1997     -0.6072      0.0747      0.8232     -0.1781      0.0484     -0.0261     -0.0137     -0.0581      0.0909     -0.0040      0.0492      0.0061     -0.0476      0.0124     -0.0169     -0.0125      0.0005      0.1039      0.0000      0.0000      0.0000      0.0438      0.0000      0.0445      0.1057      0.0232      0.0772      0.0224      0.0404      0.0145      0.0334      0.0142      0.0230      0.0096      0.0198      0.0106      0.0159      0.0052      0.0136      0.0071      0.0074
    1748.157     -0.1066      0.0000      0.0000      0.0000      0.3472      0.0000      1.1216     -0.2714      0.1160      0.9283     -0.1075     -0.1003     -0.0350     -0.0489     -0.0576      0.0592      0.0170      0.0931      0.0258     -0.0447      0.0088     -0.0287     -0.0002     -0.0169      0.1310      0.0000      0.0000      0.0000      0.0579      0.0000      0.0590      0.1261      0.0335      0.0798      0.0299      0.0524      0.0204      0.0388      0.0200      0.0285      0.0102      0.0167      0.0121      0.0167      0.0069      0.0128      0.0074      0.0092
    1765.408     -0.2915      0.0000      0.0000      0.0000      0.3031      0.0000      1.0982     -0.0543      0.0964      0.9125     -0.1331     -0.1217     -0.0402     -0.0694     -0.0415      0.0564      0.0207      0.0799      0.0195     -0.0260     -0.0095     -0.0085      0.0033     -0.0159      0.1137      0.0000      0.0000      0.0000      0.0474      0.0000      0.0522      0.1116      0.0250      0.0737      0.0257      0.0438      0.0154      0.0331      0.0146      0.0236      0.0117      0.0181      0.0119      0.0132      0.0069      0.0158      0.0062      0.0092
