  ###################################################################################################
  # Eta photoproduction Single Energy Solution 1 - Real Part
  # Reaction: gamma p --> eta p
  # Publication: H. Osmanović et all,  Phys. Rev. C 97, 015207 – Published 31 January 2018
  # Database: data.pwatuzla.com
  ###################################################################################################     
       W           E0+          E0-         M0+         M0-         E1+         E1-         M1+         M1-         E2+         E2-         M2+         M2-         E3+         E3-         M3+         M3-         E4+         E4-         M4+         M4-         E5+         E5-         M5+         M5-       ErrE0+      ErrE0-      ErrM0+      ErrM0-      ErrE1+      ErrE1-      ErrM1+      ErrM1-      ErrE2+      ErrE2-      ErrM2+      ErrM2-      ErrE3+      ErrE3-      ErrM3+      ErrM3-      ErrE4+      ErrE4-      ErrM4+      ErrM4-      ErrE5+      ErrE5-      ErrM5+      ErrM5- 
    1498.334      2.9675      0.0000      0.0000      0.0000     -0.0303      0.0000      0.2050      0.0283      0.0573      0.0960      0.0414      0.0253      0.0068     -0.0003     -0.0007     -0.0008     -0.0006      0.0008      0.0010      0.0005      0.0000      0.0000      0.0000     -0.0000      0.2958      0.0000      0.0000      0.0000      0.1205      0.0000      0.1220      0.2762      0.0579      0.1014      0.0602      0.0853      0.0146      0.0190      0.0147      0.0184      0.0028      0.0030      0.0028      0.0030      0.0005      0.0005      0.0005      0.0005
    1500.961      1.9685      0.0000      0.0000      0.0000      0.1057      0.0000      0.2791      0.4663      0.0252      0.0487      0.0152      0.0508      0.0155      0.0049      0.0052     -0.0033     -0.0035      0.0025      0.0050      0.0024      0.0002     -0.0002     -0.0003     -0.0002      0.2286      0.0000      0.0000      0.0000      0.0905      0.0000      0.0906      0.2237      0.0499      0.1334      0.0527      0.0918      0.0276      0.0458      0.0289      0.0397      0.0087      0.0106      0.0087      0.0104      0.0021      0.0022      0.0021      0.0022
    1513.908     -2.2526      0.0000      0.0000      0.0000      0.2980      0.0000      0.9041      0.2376     -0.1027     -0.2291     -0.1030      0.1641      0.0141      0.0133      0.0058     -0.0031     -0.0087     -0.0053      0.0098      0.0110      0.0010     -0.0041     -0.0050     -0.0017      0.2080      0.0000      0.0000      0.0000      0.0809      0.0000      0.0807      0.2100      0.0470      0.1357      0.0507      0.0892      0.0311      0.0626      0.0321      0.0507      0.0186      0.0286      0.0190      0.0246      0.0068      0.0082      0.0067      0.0079
    1529.263     -6.1328      0.0000      0.0000      0.0000      0.3819      0.0000      1.2175      0.0318     -0.0816     -0.4182     -0.0947     -0.0458      0.0475      0.0450      0.0077      0.0010      0.0391      0.0186      0.0356     -0.0082      0.0032     -0.0086     -0.0029     -0.0003      0.1839      0.0000      0.0000      0.0000      0.0716      0.0000      0.0714      0.1890      0.0408      0.1168      0.0432      0.0762      0.0304      0.0587      0.0301      0.0452      0.0232      0.0366      0.0237      0.0317      0.0130      0.0184      0.0133      0.0140
    1541.850     -8.5037      0.0000      0.0000      0.0000      0.2662      0.0000      1.1005      0.0450     -0.0299     -0.4334     -0.0685     -0.2789      0.0347      0.0011      0.0177      0.0730      0.0115     -0.0061      0.0099      0.0141      0.0039     -0.0067     -0.0161      0.0262      0.1599      0.0000      0.0000      0.0000      0.0642      0.0000      0.0658      0.1718      0.0364      0.0912      0.0398      0.0677      0.0220      0.0376      0.0215      0.0327      0.0108      0.0148      0.0109      0.0146      0.0044      0.0054      0.0046      0.0051
    1554.275    -10.1113      0.0000      0.0000      0.0000      0.2108      0.0000      1.0037     -0.0516     -0.0331     -0.5503     -0.0865     -0.3703      0.0209      0.0243      0.0514      0.0670     -0.0225      0.0001     -0.0089      0.0005      0.0049      0.0059     -0.0007      0.0046      0.1430      0.0000      0.0000      0.0000      0.0590      0.0000      0.0616      0.1643      0.0334      0.0866      0.0370      0.0634      0.0213      0.0396      0.0226      0.0326      0.0120      0.0176      0.0127      0.0176      0.0055      0.0076      0.0060      0.0067
    1566.482    -11.0397      0.0000      0.0000      0.0000      0.2150      0.0000      1.0918      0.2171     -0.0002     -0.6438     -0.0564     -0.4149      0.0163      0.0280      0.0552      0.0626     -0.0369      0.0049     -0.0289     -0.0058     -0.0005      0.0076      0.0037      0.0013      0.1766      0.0000      0.0000      0.0000      0.0808      0.0000      0.0867      0.1883      0.0464      0.0925      0.0520      0.0779      0.0279      0.0435      0.0333      0.0402      0.0169      0.0220      0.0189      0.0229      0.0073      0.0096      0.0088      0.0085
    1578.535    -11.2160      0.0000      0.0000      0.0000      0.2596      0.0000      1.2333      0.3994      0.0495     -0.6734      0.0052     -0.4293      0.0239      0.0123      0.0488      0.0369     -0.0162      0.0116     -0.0108     -0.0154      0.0047      0.0076      0.0187     -0.0108      0.0950      0.0000      0.0000      0.0000      0.0462      0.0000      0.0575      0.1497      0.0277      0.0719      0.0311      0.0547      0.0180      0.0369      0.0219      0.0325      0.0119      0.0208      0.0131      0.0194      0.0062      0.0100      0.0076      0.0089
    1590.378    -11.0607      0.0000      0.0000      0.0000      0.2205      0.0000      1.2367      0.4215      0.0546     -0.7145      0.0261     -0.3846      0.0281     -0.0229      0.0494      0.0691     -0.0177      0.0129     -0.0107     -0.0114      0.0042      0.0005      0.0178     -0.0104      0.0846      0.0000      0.0000      0.0000      0.0442      0.0000      0.0568      0.1397      0.0244      0.0617      0.0303      0.0500      0.0162      0.0320      0.0200      0.0282      0.0111      0.0174      0.0139      0.0178      0.0055      0.0095      0.0076      0.0084
    1602.017    -10.5482      0.0000      0.0000      0.0000      0.1788      0.0000      1.1964      0.3703      0.0490     -0.7106      0.0621     -0.3854      0.0380     -0.0669      0.0808      0.1468     -0.0126      0.0115     -0.0015      0.0172      0.0025     -0.0120      0.0085      0.0019      0.0555      0.0000      0.0000      0.0000      0.0367      0.0000      0.0520      0.1370      0.0212      0.0547      0.0271      0.0478      0.0144      0.0308      0.0197      0.0273      0.0098      0.0153      0.0124      0.0157      0.0058      0.0106      0.0084      0.0102
    1613.572     -9.5556      0.0000      0.0000      0.0000      0.1741      0.0000      1.2036      0.1992      0.0524     -0.6707      0.0929     -0.3698      0.0090      0.0145      0.0659      0.0836     -0.0151      0.0207      0.0233     -0.0289      0.0080     -0.0017      0.0210     -0.0084      0.0440      0.0000      0.0000      0.0000      0.0319      0.0000      0.0484      0.1245      0.0197      0.0475      0.0266      0.0443      0.0150      0.0278      0.0200      0.0283      0.0091      0.0134      0.0115      0.0158      0.0052      0.0074      0.0071      0.0087
    1624.871     -8.5296      0.0000      0.0000      0.0000      0.1691      0.0000      1.2212      0.0781      0.0471     -0.6193      0.1174     -0.4582      0.0128      0.0160      0.0587      0.0522     -0.0115      0.0338      0.0151     -0.0262      0.0038      0.0053      0.0177     -0.0064      0.0404      0.0000      0.0000      0.0000      0.0284      0.0000      0.0514      0.1229      0.0168      0.0478      0.0260      0.0436      0.0132      0.0283      0.0184      0.0272      0.0092      0.0155      0.0119      0.0156      0.0056      0.0083      0.0074      0.0091
    1635.978     -7.4954      0.0000      0.0000      0.0000      0.1520      0.0000      1.2195      0.0714      0.0378     -0.5727      0.1212     -0.4766      0.0154     -0.0033      0.0266      0.0318     -0.0139      0.0328      0.0098     -0.0318      0.0050     -0.0025      0.0248      0.0092      0.0442      0.0000      0.0000      0.0000      0.0271      0.0000      0.0503      0.1295      0.0160      0.0489      0.0269      0.0443      0.0126      0.0291      0.0188      0.0282      0.0076      0.0134      0.0096      0.0143      0.0049      0.0087      0.0072      0.0085
