#############################################################################################################
# Bonn-Gatchina 2018 eta photoproduction solutions | DATABASE: www.data.pwatuzla.com
# Reaction: gama p --> eta p
# Published: Tiator, L., Gorchtein, M., Kashevarov, V.L. et al. Eur. Phys. J. A (2018) 54: 210. 
#############################################################################################################
   W             ReE0+                ImE0+              ReE0-               ImE0-               ReM0+               ImM0+               ReM0-               ImM0-               ReE1+               ImE1+               ReE1-              ImE1-                ReM1+               ImM1+               ReM1-               ImM1-               ReE2+               ImE2+               ReE2-              ImE2-                ReM2+               ImM2+               ReM2-               ImM2-                ReE3+              ImE3+               ReE3-               ImE3-               ReM3+               ImM3+               ReM3-               ImM3-               ReE4+               ImE4+              ReE4-                ImE4-                ReM4+               ImM4+              ReM4-               ImM4-               ReE5+               ImE5+               ReE5-               ImE5-               ReM5+               ImM5+               ReM5-               ImM5-               ReE6+               ImE6+               ReE6-               ImE6-               ReM6+               ImM6+               ReM6-               ImM6-               ReE7+               ImE7+               ReE7-               ImE7-               ReM7+               ImM7+               ReM7-               ImM7-                        
  1490.00     -0.11564812E+02     -0.16387513E+02      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00     -0.10325429E+00     -0.45814706E-01      0.00000000E+00      0.00000000E+00     -0.35606929E+00      0.53415581E-01     -0.39960320E+00     -0.37739299E-01     -0.97452765E-03     -0.21303078E-02     -0.36719230E-01     -0.92177316E-01      0.51647908E-02      0.15199493E-02     -0.20414444E-01     -0.47363805E-01     -0.46144447E-04     -0.10660375E-03     -0.21459709E-03      0.70941280E-04     -0.24835432E-03     -0.27682982E-05     -0.26164855E-03     -0.22015882E-03     -0.12736822E-05     -0.44552331E-05     -0.62578916E-05      0.23155670E-06      0.79106979E-05      0.11349623E-04      0.52966498E-05     -0.13016758E-04     -0.77428672E-07     -0.13895255E-06      0.61133739E-07      0.50194564E-07      0.10350637E-05      0.48521381E-06      0.96044295E-06     -0.12474157E-05     -0.25118625E-08     -0.35070739E-08      0.28039327E-08     -0.44362266E-08      0.96414604E-07      0.96778523E-08      0.70422927E-07     -0.92042868E-07      0.60922355E-10     -0.23550177E-09      0.65839207E-10     -0.51137598E-09      0.58334875E-08     -0.75270779E-09      0.37595259E-08     -0.54034328E-08
  1495.00     -0.10160587E+02     -0.17366853E+02      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00     -0.14798216E+00     -0.67217999E-01      0.00000000E+00      0.00000000E+00     -0.51925804E+00      0.75684368E-01     -0.56272784E+00     -0.70510258E-01     -0.20921183E-02     -0.44164448E-02     -0.62545645E-01     -0.20087247E+00      0.10966398E-01      0.33715132E-02     -0.36293064E-01     -0.10406529E+00     -0.14164043E-03     -0.32516603E-03     -0.68029497E-03      0.19509146E-03     -0.77461506E-03     -0.25377368E-04     -0.83685657E-03     -0.67969391E-03     -0.55319298E-05     -0.20124602E-04     -0.28753055E-04      0.49468189E-06      0.32638895E-04      0.50185419E-04      0.21018028E-04     -0.56068725E-04     -0.50284257E-06     -0.93904130E-06      0.38686495E-06      0.33170967E-06      0.64450450E-05      0.32224815E-05      0.60651294E-05     -0.78867013E-05     -0.25788406E-07     -0.32834508E-07      0.24353724E-07     -0.35164209E-07      0.89492059E-06      0.10817331E-06      0.66100209E-06     -0.86106434E-06     -0.31818621E-08      0.29484326E-08     -0.22901135E-08     -0.16726925E-08      0.77909323E-07     -0.46521923E-08      0.56992739E-07     -0.81001604E-07
  1500.00     -0.87443214E+01     -0.18116636E+02      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00     -0.17990019E+00     -0.83809383E-01      0.00000000E+00      0.00000000E+00     -0.64175876E+00      0.90541518E-01     -0.67087225E+00     -0.10647332E+00     -0.32339989E-02     -0.65769642E-02     -0.69934326E-01     -0.31060073E+00      0.16725249E-01      0.53849536E-02     -0.43470246E-01     -0.16238106E+00     -0.26299028E-03     -0.60694719E-03     -0.13114747E-02      0.31705578E-03     -0.14672325E-02     -0.81415802E-04     -0.16306493E-02     -0.12774790E-02     -0.13778286E-04     -0.45051933E-04     -0.70095294E-04      0.24273143E-05      0.67717101E-04      0.11656556E-03      0.44179662E-04     -0.12718764E-03     -0.62868232E-06     -0.38433056E-05      0.21937481E-05     -0.54850877E-06      0.18576505E-04      0.81025589E-05      0.15866734E-04     -0.20510386E-04     -0.46161922E-06      0.37129880E-06     -0.48551902E-06      0.65097557E-06      0.25226310E-05      0.10734346E-05      0.26647698E-05     -0.35829849E-05      0.33530280E-07     -0.52520036E-07      0.16099111E-06     -0.23671043E-06      0.54848034E-06     -0.20821617E-06      0.24775538E-06     -0.25529206E-06
  1505.00     -0.72899128E+01     -0.18644025E+02      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00     -0.20524858E+00     -0.98211602E-01      0.00000000E+00      0.00000000E+00     -0.74376843E+00      0.10118233E+00     -0.74910319E+00     -0.14552348E+00     -0.43948552E-02     -0.86283923E-02     -0.58290214E-01     -0.41662424E+00      0.22440681E-01      0.75629658E-02     -0.41454102E-01     -0.21999674E+00     -0.40959652E-03     -0.92630805E-03     -0.20961168E-02      0.42435347E-03     -0.22965329E-02     -0.16855221E-03     -0.26094375E-02     -0.19971889E-02     -0.21186232E-04     -0.84962380E-04     -0.12506330E-03     -0.26193480E-05      0.11354733E-03      0.20202747E-03      0.64974560E-04     -0.21480364E-03     -0.34565978E-05     -0.52240389E-05      0.16276382E-05      0.27161049E-05      0.34234098E-04      0.20304957E-04      0.34269552E-04     -0.44737553E-04      0.13258404E-06     -0.80426997E-06      0.68488362E-06     -0.91035507E-06      0.77264707E-05      0.54028627E-06      0.50313363E-05     -0.64121047E-05     -0.12466974E-06      0.14503094E-06     -0.23765952E-06      0.26735449E-06      0.67386859E-06      0.21644329E-06      0.73442230E-06     -0.11189355E-05
  1510.00     -0.58231168E+01     -0.18949745E+02      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00     -0.22635589E+00     -0.11141612E+00      0.00000000E+00      0.00000000E+00     -0.83268102E+00      0.10877167E+00     -0.80707160E+00     -0.18685850E+00     -0.55827043E-02     -0.10569365E-01     -0.28746840E-01     -0.51403243E+00      0.28099247E-01      0.99243939E-02     -0.30560877E-01     -0.27448524E+00     -0.57263489E-03     -0.12795745E-02     -0.30198310E-02      0.49123743E-03     -0.32359552E-02     -0.29684059E-03     -0.37674918E-02     -0.28169841E-02     -0.32070103E-04     -0.13325875E-03     -0.19976290E-03     -0.79634764E-05      0.16192857E-03      0.31043140E-03      0.85474609E-04     -0.32326959E-03     -0.53086098E-05     -0.10344940E-04      0.33104963E-05      0.39796095E-05      0.57193137E-04      0.35223072E-04      0.56922338E-04     -0.74726564E-04     -0.60686962E-06     -0.45904664E-06      0.36813945E-06     -0.44877071E-06      0.13946206E-04      0.23944759E-05      0.10714009E-04     -0.13638513E-04      0.23048126E-06     -0.36605658E-06      0.25167957E-06     -0.44717532E-06      0.22692256E-05     -0.42786241E-06      0.10972001E-05     -0.15858083E-05
  1515.00     -0.43809304E+01     -0.19043001E+02      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00     -0.24440428E+00     -0.12391674E+00      0.00000000E+00      0.00000000E+00     -0.91218009E+00      0.11390485E+00     -0.84980999E+00     -0.22985134E+00     -0.68001044E-02     -0.12405499E-01      0.15887503E-01     -0.59852421E+00      0.33692084E-01      0.12479665E-01     -0.11958058E-01     -0.32363333E+00     -0.74943129E-03     -0.16596627E-02     -0.40793233E-02      0.50225850E-03     -0.42684234E-02     -0.46924148E-03     -0.50975612E-02     -0.37299669E-02     -0.45250760E-04     -0.19069517E-03     -0.29428221E-03     -0.14900103E-04      0.20939076E-03      0.43925683E-03      0.10088596E-03     -0.44838276E-03     -0.81193184E-05     -0.16867355E-04      0.55685289E-05      0.55124021E-05      0.85863783E-04      0.55259693E-04      0.86232596E-04     -0.11339225E-03     -0.67818608E-06     -0.13670741E-05      0.82813506E-06     -0.99741019E-06      0.23514501E-04      0.41303953E-05      0.17559124E-04     -0.22392898E-04     -0.58863614E-07     -0.38114788E-07     -0.69770286E-07     -0.98038006E-07      0.37275545E-05     -0.66143133E-07      0.26498100E-05     -0.37381010E-05
  1520.00     -0.29985668E+01     -0.18943414E+02      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00     -0.26008132E+00     -0.13601367E+00      0.00000000E+00      0.00000000E+00     -0.98439028E+00      0.11691757E+00     -0.88043705E+00     -0.27389744E+00     -0.80468450E-02     -0.14146152E-01      0.71527986E-01     -0.66707360E+00      0.39206639E-01      0.15239398E-01      0.12509688E-01     -0.36579503E+00     -0.94192601E-03     -0.20561118E-02     -0.52788423E-02      0.44893386E-03     -0.53836596E-02     -0.68250944E-03     -0.65894796E-02     -0.47405308E-02     -0.58832945E-04     -0.25896915E-03     -0.40614205E-03     -0.28074366E-04      0.25617203E-03      0.58303941E-03      0.10639070E-03     -0.58453193E-03     -0.11288246E-04     -0.25811357E-04      0.81089138E-05      0.76924373E-05      0.11876529E-03      0.81001113E-04      0.12061003E-03     -0.15961253E-03     -0.15749077E-05     -0.16031590E-05      0.69315889E-06     -0.69592942E-06      0.35581617E-04      0.77099928E-05      0.27780562E-04     -0.35353375E-04     -0.53370658E-07     -0.14729157E-06      0.18583348E-06     -0.55675516E-06      0.66950869E-05     -0.38814002E-06      0.45371771E-05     -0.61480686E-05
  1525.00     -0.17038719E+01     -0.18677980E+02      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00     -0.27383644E+00     -0.14788758E+00      0.00000000E+00      0.00000000E+00     -0.10506904E+01      0.11805537E+00     -0.90105826E+00     -0.31852155E+00     -0.93268941E-02     -0.15794871E-01      0.13349363E+00     -0.71829316E+00      0.44633957E-01      0.18212950E-01      0.40651257E-01     -0.40010432E+00     -0.11461448E-02     -0.24682071E-02     -0.66174306E-02      0.31310083E-03     -0.65675045E-02     -0.94094122E-03     -0.82440996E-02     -0.58438782E-02     -0.73483225E-04     -0.33632949E-03     -0.53788179E-03     -0.45282259E-04      0.29746703E-03      0.74214183E-03      0.10005929E-03     -0.73148118E-03     -0.15603050E-04     -0.36286530E-04      0.10793009E-04      0.10669458E-04      0.15533237E-03      0.11295607E-03      0.16091957E-03     -0.21414852E-03     -0.22252075E-05     -0.26928673E-05      0.11810391E-05     -0.11727756E-05      0.51484803E-04      0.11796131E-04      0.40192699E-04     -0.50909679E-04     -0.87213841E-07     -0.25983427E-06      0.23040128E-06     -0.76423806E-06      0.10354347E-04     -0.40095520E-06      0.70857959E-05     -0.95930019E-05
  1530.00     -0.51577817E+00     -0.18276946E+02      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00     -0.28596847E+00     -0.15966981E+00      0.00000000E+00      0.00000000E+00     -0.11119972E+01      0.11747359E+00     -0.91322397E+00     -0.36330047E+00     -0.10638793E-01     -0.17362379E-01      0.19723261E+00     -0.75242070E+00      0.49962362E-01      0.21407644E-01      0.70263874E-01     -0.42648092E+00     -0.13635685E-02     -0.28892134E-02     -0.81025457E-02      0.85337885E-04     -0.78134568E-02     -0.12402409E-02     -0.10056329E-01     -0.70473814E-02     -0.89177194E-04     -0.42194640E-03     -0.68883817E-03     -0.68518272E-04      0.33287117E-03      0.91348443E-03      0.80319226E-04     -0.88757128E-03     -0.19866297E-04     -0.50032364E-04      0.14637067E-04      0.13010707E-04      0.19550849E-03      0.14986503E-03      0.20483110E-03     -0.27441568E-03     -0.31206226E-05     -0.40585617E-05      0.12953287E-05     -0.10760327E-05      0.70105305E-04      0.17855205E-04      0.55323092E-04     -0.70132827E-04     -0.58483180E-06      0.17744138E-06      0.16993321E-07     -0.65753294E-06      0.15003816E-04      0.84330800E-07      0.11158613E-04     -0.14861537E-04
  1535.00      0.55575174E+00     -0.17770749E+02      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00     -0.29669081E+00     -0.17144649E+00      0.00000000E+00      0.00000000E+00     -0.11689801E+01      0.11531212E+00     -0.91810642E+00     -0.40790809E+00     -0.11988245E-01     -0.18849287E-01      0.25888115E+00     -0.77097539E+00      0.55178434E-01      0.24835206E-01      0.99444989E-01     -0.44551113E+00     -0.15915912E-02     -0.33187607E-02     -0.97354312E-02     -0.25461765E-03     -0.91080587E-02     -0.15843503E-02     -0.12027355E-01     -0.83510224E-02     -0.10451010E-03     -0.51684347E-03     -0.85958677E-03     -0.98006154E-04      0.35969025E-03      0.10952357E-02      0.42719512E-04     -0.10495687E-02     -0.25655311E-04     -0.65024346E-04      0.17804845E-04      0.17112077E-04      0.23649281E-03      0.19421420E-03      0.25383027E-03     -0.34270259E-03     -0.42428725E-05     -0.58055415E-05      0.19823491E-05     -0.16705629E-05      0.92922658E-04      0.24947464E-04      0.73628299E-04     -0.92834263E-04     -0.55467210E-06     -0.18778602E-06      0.23123916E-06     -0.11601464E-05      0.21282299E-04      0.10328973E-06      0.15384838E-04     -0.20456171E-04
