#############################################################################################################
# EtaMAID2016a eta photoproduction solutions | DATABASE: www.data.pwatuzla.com
# Reaction: gama p --> eta p
# Published: Tiator, L., Gorchtein, M., Kashevarov, V.L. et al. Eur. Phys. J. A (2018) 54: 210. 
#############################################################################################################   
   W        ReE0+      ImE0+         ReE0-      ImE0-      ReM0+      ImM0+       ReM0-      ImM0-       ReE1+      ImE1+       ReE1-      ImE1-       ReM1+      ImM1+       ReM1-      ImM1-       ReE2+      ImE2+       ReE2-      ImE2-       ReM2+      ImM2+      ReM2-      ImM2-        ReE3+      ImE3+       ReE3-      ImE3-       ReM3+      ImM3+       ReM3-      ImM3-       ReE4+      ImE4+       ReE4-      ImE4-      ReM4+      ImM4+        ReM4-      ImM4-       ReE5+      ImE5+       ReE5-      ImE5-       ReM5+      ImM5+       ReM5-      ImM5-                                           
 1487.0   11.631989  19.294053    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.021506   0.020973    0.000000   0.000000    0.187372   0.037366    0.031288   0.111811    0.000200  -0.000287    0.013985   0.017425   -0.000587  -0.000518    0.007696   0.010722    0.000001  -0.000004    0.000009   0.000035    0.000018  -0.000007    0.000084   0.000013   -0.000000  -0.000000    0.000002   0.000000    0.000000  -0.000000    0.000002   0.000000   -0.000000   0.000000   -0.000000   0.000000   -0.000000   0.000000    0.000000  -0.000000
 1492.0    7.599101  20.047180    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.053935   0.055998    0.000000   0.000000    0.482065   0.098726    0.077678   0.281086    0.001451  -0.001873    0.082760   0.136188   -0.003856  -0.003596    0.045329   0.082968    0.000016  -0.000073    0.000145   0.000616    0.000324  -0.000118    0.001448   0.000240   -0.000000  -0.000001    0.000102   0.000015    0.000005  -0.000004    0.000096   0.000004   -0.000000  -0.000000    0.000000   0.000000    0.000000  -0.000000    0.000000   0.000000
 1497.0    4.853515  20.433755    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.070627   0.078079    0.000000   0.000000    0.648464   0.136342    0.100958   0.369288    0.002859  -0.003335    0.118902   0.281519   -0.006946  -0.006851    0.064462   0.170366    0.000042  -0.000185    0.000324   0.001549    0.000825  -0.000296    0.003582   0.000619   -0.000001  -0.000003    0.000336   0.000050    0.000017  -0.000012    0.000318   0.000014   -0.000000  -0.000000    0.000000   0.000001    0.000000  -0.000000    0.000001   0.000000
 1502.0    2.458977  20.496096    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.081979   0.096531    0.000000   0.000000    0.774350   0.167098    0.116612   0.430458    0.004416  -0.004663    0.108025   0.438378   -0.009895  -0.010314    0.056955   0.264425    0.000077  -0.000328    0.000506   0.002725    0.001470  -0.000518    0.006207   0.001117   -0.000002  -0.000007    0.000688   0.000108    0.000036  -0.000026    0.000654   0.000030   -0.000000  -0.000000    0.000000   0.000002    0.000001  -0.000001    0.000002   0.000001
 1507.0    0.295202  20.268589    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.090154   0.113125    0.000000   0.000000    0.877434   0.194277    0.127938   0.475845    0.006117  -0.005847    0.046403   0.583185   -0.012737  -0.014024    0.020677   0.351846    0.000121  -0.000498    0.000672   0.004100    0.002236  -0.000776    0.009199   0.001723   -0.000003  -0.000012    0.001142   0.000189    0.000064  -0.000046    0.001092   0.000052   -0.000000  -0.000000    0.000000   0.000004    0.000002  -0.000001    0.000003   0.000001
 1512.0   -1.657235  19.790706    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.096080   0.128558    0.000000   0.000000    0.965142   0.219213    0.136370   0.510289    0.007954  -0.006876   -0.054522   0.693727   -0.015502  -0.018025   -0.037962   0.420100    0.000174  -0.000692    0.000809   0.005647    0.003112  -0.001062    0.012486   0.002435   -0.000004  -0.000018    0.001685   0.000293    0.000100  -0.000072    0.001621   0.000081   -0.000000  -0.000000    0.000001   0.000007    0.000003  -0.000003    0.000006   0.000002
 1517.0   -3.395903  19.107580    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.100266   0.143182    0.000000   0.000000    1.041454   0.242600    0.142692   0.536440    0.009920  -0.007737   -0.173528   0.759367   -0.018216  -0.022364   -0.107046   0.463174    0.000236  -0.000908    0.000914   0.007349    0.004091  -0.001372    0.016017   0.003250   -0.000006  -0.000026    0.002306   0.000421    0.000145  -0.000103    0.002231   0.000118   -0.000000  -0.000001    0.000001   0.000011    0.000004  -0.000004    0.000009   0.000003
 1522.0   -4.917764  18.266735    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.103034   0.157199    0.000000   0.000000    1.108813   0.264851    0.147386   0.555955    0.012005  -0.008418   -0.290209   0.782911   -0.020898  -0.027095   -0.175112   0.482623    0.000307  -0.001144    0.000983   0.009195    0.005164  -0.001703    0.019756   0.004172   -0.000008  -0.000036    0.002994   0.000573    0.000199  -0.000140    0.002914   0.000161   -0.000001  -0.000001    0.000001   0.000017    0.000006  -0.000006    0.000013   0.000005
 1527.0   -6.225685  17.314197    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.104603   0.170731    0.000000   0.000000    1.168853   0.286238    0.150770   0.569956    0.014201  -0.008903   -0.391739   0.774885   -0.023562  -0.032279   -0.234969   0.484348    0.000387  -0.001400    0.001017   0.011177    0.006329  -0.002051    0.023676   0.005202   -0.000010  -0.000047    0.003739   0.000750    0.000263  -0.000184    0.003661   0.000213   -0.000001  -0.000002    0.000002   0.000024    0.000009  -0.000009    0.000019   0.000007
 1532.0   -7.329442  16.291353    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.105134   0.183860    0.000000   0.000000    1.222737   0.306950    0.153059   0.579243    0.016499  -0.009177   -0.473243   0.746976   -0.026213  -0.037982   -0.283896   0.474904    0.000477  -0.001673    0.001017   0.013292    0.007580  -0.002413    0.027757   0.006345   -0.000013  -0.000060    0.004533   0.000952    0.000337  -0.000234    0.004466   0.000272   -0.000001  -0.000002    0.000002   0.000032    0.000012  -0.000012    0.000025   0.000009
