   W        ReE0+      ImE0+         ReE0-      ImE0-      ReM0+      ImM0+       ReM0-      ImM0-       ReE1+      ImE1+       ReE1-      ImE1-       ReM1+      ImM1+       ReM1-      ImM1-       ReE2+      ImE2+       ReE2-      ImE2-       ReM2+      ImM2+      ReM2-      ImM2-        ReE3+      ImE3+       ReE3-      ImE3-       ReM3+      ImM3+       ReM3-      ImM3-       ReE4+      ImE4+       ReE4-      ImE4-      ReM4+      ImM4+        ReM4-      ImM4-       ReE5+      ImE5+       ReE5-      ImE5-       ReM5+      ImM5+       ReM5-      ImM5-                                           
 1487.00   11.347591  19.600878    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.005383   0.005893    0.000000   0.000000    0.143444   0.048902    0.028325   0.120733    0.001114   0.000127    0.003538   0.017850   -0.003552  -0.000678    0.004052   0.011369    0.000002  -0.000000    0.000277   0.000170    0.000038  -0.000007    0.000162  -0.000001   -0.000002  -0.000000    0.000000   0.000000   -0.000002  -0.000000    0.000004   0.000000   -0.000000  -0.000000    0.000000   0.000000    0.000000  -0.000000    0.000000   0.000000
 1492.00    7.639237  20.084071    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.012332   0.015761    0.000000   0.000000    0.371480   0.128502    0.073181   0.299425    0.007076   0.000867    0.014814   0.122607   -0.021408  -0.004426    0.021440   0.078007    0.000024  -0.000002    0.004407   0.002842    0.000650  -0.000127    0.002619   0.000006   -0.000091  -0.000005    0.000012   0.000005   -0.000069  -0.000008    0.000179   0.000010   -0.000000  -0.000000    0.000000   0.000000    0.000000  -0.000000    0.000000   0.000000
 1497.00    5.125322  20.330651    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.014623   0.021976    0.000000   0.000000    0.502311   0.176349    0.098382   0.390328    0.012344   0.001624    0.008959   0.228100   -0.035377  -0.007925    0.027902   0.145107    0.000054  -0.000005    0.010101   0.006824    0.001585  -0.000319    0.006103   0.000056   -0.000273  -0.000015    0.000036   0.000017   -0.000205  -0.000026    0.000540   0.000032   -0.000000  -0.000000    0.000000   0.000000    0.000000  -0.000000    0.000001   0.000000
 1502.00    2.944267  20.341499    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.015193   0.027130    0.000000   0.000000    0.602257   0.214610    0.117033   0.453194    0.017044   0.002409   -0.015273   0.330506   -0.046186  -0.011221    0.022933   0.210490    0.000086  -0.000009    0.016286   0.011524    0.002718  -0.000558    0.010015   0.000164   -0.000515  -0.000029    0.000069   0.000037   -0.000381  -0.000054    0.001024   0.000064   -0.000000  -0.000000    0.000001   0.000000    0.000001  -0.000001    0.000002   0.000000
 1507.00    0.967509  20.136475    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.014717   0.031706    0.000000   0.000000    0.684528   0.247594    0.131724   0.500490    0.021272   0.003229   -0.057641   0.425360   -0.054401  -0.014355    0.006818   0.271624    0.000118  -0.000013    0.022543   0.016706    0.003999  -0.000834    0.014130   0.000342   -0.000792  -0.000046    0.000109   0.000064   -0.000575  -0.000091    0.001585   0.000105   -0.000000  -0.000000    0.000002   0.000001    0.000002  -0.000002    0.000003   0.000001
 1512.00   -0.837840  19.738980    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.013507   0.035890    0.000000   0.000000    0.754633   0.277043    0.143502   0.537500    0.025106   0.004093   -0.116204   0.508274   -0.060479  -0.017366   -0.019236   0.326030    0.000149  -0.000018    0.028665   0.022244    0.005402  -0.001141    0.018335   0.000599   -0.001088  -0.000066    0.000153   0.000098   -0.000776  -0.000137    0.002193   0.000154   -0.000000  -0.000000    0.000003   0.000001    0.000003  -0.000003    0.000006   0.000002
 1517.00   -2.479060  19.175499    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.011746   0.039773    0.000000   0.000000    0.815528   0.303862    0.152884   0.567048    0.028607   0.005008   -0.187501   0.575715   -0.064787  -0.020289   -0.053191   0.371712    0.000179  -0.000022    0.034540   0.028068    0.006911  -0.001471    0.022576   0.000942   -0.001393  -0.000088    0.000201   0.000141   -0.000973  -0.000191    0.002828   0.000210   -0.000000  -0.000000    0.000005   0.000002    0.000005  -0.000005    0.000009   0.000003
 1522.00   -3.956868  18.474295    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.009552   0.043406    0.000000   0.000000    0.869038   0.328586    0.160154   0.590836    0.031826   0.005983   -0.267091   0.625570   -0.067623  -0.023160   -0.092480   0.407474    0.000207  -0.000027    0.040106   0.034132    0.008515  -0.001822    0.026825   0.001380   -0.001700  -0.000111    0.000251   0.000191   -0.001160  -0.000253    0.003477   0.000272   -0.000000  -0.000000    0.000008   0.000003    0.000008  -0.000008    0.000013   0.000004
 1527.00   -5.272113  17.663738    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.007010   0.046818    0.000000   0.000000    0.916401   0.351563    0.165466   0.609970    0.034804   0.007024   -0.350286   0.657374   -0.069236  -0.026015   -0.134409   0.433044    0.000233  -0.000031    0.045333   0.040409    0.010209  -0.002189    0.031069   0.001923   -0.002004  -0.000136    0.000303   0.000250   -0.001333  -0.000323    0.004130   0.000341   -0.000001  -0.000000    0.000011   0.000005    0.000011  -0.000011    0.000018   0.000005
 1532.00   -6.428088  16.770753    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.004184   0.050029    0.000000   0.000000    0.958512   0.373036    0.168898   0.625200    0.037572   0.008139   -0.432834   0.672130   -0.069828  -0.028891   -0.176538   0.448979    0.000259  -0.000035    0.050202   0.046884    0.011985  -0.002568    0.035306   0.002581   -0.002301  -0.000162    0.000355   0.000316   -0.001487  -0.000401    0.004780   0.000416   -0.000001  -0.000000    0.000014   0.000007    0.000015  -0.000015    0.000024   0.000007
 1537.00   -7.430926  15.819631    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.001126   0.053052    0.000000   0.000000    0.996053   0.393181    0.170482   0.637043    0.040160   0.009336   -0.511375   0.671894   -0.069572  -0.031828   -0.216934   0.456425    0.000283  -0.000039    0.054707   0.053547    0.013842  -0.002957    0.039538   0.003364   -0.002589  -0.000189    0.000407   0.000391   -0.001623  -0.000487    0.005425   0.000496   -0.000001  -0.000000    0.000019   0.000009    0.000020  -0.000020    0.000032   0.000009
