#############################################################################################################
# EtaMAID2016h eta photoproduction solutions | DATABASE: www.data.pwatuzla.com
# Reaction: gama p --> eta p
# Published: Tiator, L., Gorchtein, M., Kashevarov, V.L. et al. Eur. Phys. J. A (2018) 54: 210. 
############################################################################################################# 
   W        ReE0+      ImE0+         ReE0-      ImE0-      ReM0+      ImM0+       ReM0-      ImM0-       ReE1+      ImE1+       ReE1-      ImE1-       ReM1+      ImM1+       ReM1-      ImM1-       ReE2+      ImE2+       ReE2-      ImE2-       ReM2+      ImM2+      ReM2-      ImM2-        ReE3+      ImE3+       ReE3-      ImE3-       ReM3+      ImM3+       ReM3-      ImM3-       ReE4+      ImE4+       ReE4-      ImE4-      ReM4+      ImM4+        ReM4-      ImM4-       ReE5+      ImE5+       ReE5-      ImE5-       ReM5+      ImM5+       ReM5-      ImM5-                                           
 1487.0   -4.103136  23.253920    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.000317   0.045748    0.000000   0.000000    0.086063   0.111731   -0.114739   0.164896   -0.000073  -0.000254   -0.006534   0.014258   -0.000067   0.000048   -0.004890   0.008845   -0.000025  -0.000003    0.000027   0.000125    0.000029   0.000003    0.000012   0.000068   -0.000000  -0.000000   -0.000000   0.000004   -0.000000  -0.000001   -0.000000   0.000001    0.000000   0.000000    0.000000  -0.000000    0.000000  -0.000000   -0.000000   0.000000
 1492.0   -6.882535  21.117363    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.002357   0.119137    0.000000   0.000000    0.219330   0.289730   -0.298026   0.400197   -0.000495  -0.001683   -0.054797   0.094198   -0.000400   0.000244   -0.040019   0.058417   -0.000436  -0.000050    0.000462   0.002161    0.000506   0.000052    0.000197   0.001188   -0.000002  -0.000017   -0.000006   0.000174   -0.000008  -0.000065   -0.000001   0.000033   -0.000000   0.000000    0.000000  -0.000000    0.000000  -0.000000   -0.000000   0.000000
 1497.0   -8.709143  19.657487    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.005357   0.162267    0.000000   0.000000    0.292154   0.393017   -0.403591   0.507313   -0.000913  -0.003055   -0.121035   0.165731   -0.000643   0.000303   -0.086922   0.102570   -0.001071  -0.000119    0.001123   0.005367    0.001249   0.000121    0.000476   0.002977   -0.000007  -0.000057   -0.000019   0.000577   -0.000025  -0.000217   -0.000003   0.000111   -0.000000   0.000000    0.000000  -0.000000    0.000000  -0.000000   -0.000000   0.000000
 1502.0  -10.154170  18.297673    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.009153   0.196248    0.000000   0.000000    0.345329   0.473489   -0.484213   0.570635   -0.001322  -0.004377   -0.203122   0.222651   -0.000794   0.000229   -0.144214   0.137201   -0.001844  -0.000201    0.001906   0.009336    0.002159   0.000198    0.000803   0.005226   -0.000015  -0.000117   -0.000040   0.001188   -0.000049  -0.000448   -0.000007   0.000230   -0.000000   0.000000    0.000000  -0.000000    0.000001  -0.000001   -0.000000   0.000001
 1507.0  -11.328591  16.962377    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.013672   0.225276    0.000000   0.000000    0.387163   0.541541   -0.550467   0.608930   -0.001721  -0.005655   -0.296136   0.259769   -0.000855   0.000020   -0.208662   0.158877   -0.002713  -0.000288    0.002760   0.013895    0.003191   0.000277    0.001154   0.007850   -0.000025  -0.000194   -0.000068   0.001985   -0.000079  -0.000752   -0.000011   0.000386   -0.000000   0.000000    0.000001  -0.000000    0.000002  -0.000002   -0.000001   0.000001
 1512.0  -12.280712  15.639127    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.018880   0.251083    0.000000   0.000000    0.421155   0.601506   -0.606846   0.630692   -0.002105  -0.006894   -0.393131   0.274397   -0.000824  -0.000323   -0.275708   0.165814   -0.003656  -0.000380    0.003650   0.018943    0.004317   0.000354    0.001511   0.010799   -0.000038  -0.000288   -0.000104   0.002950   -0.000112  -0.001122   -0.000018   0.000576   -0.000000   0.000000    0.000001  -0.000000    0.000004  -0.000004   -0.000001   0.000003
 1517.0  -13.040846  14.332256    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.024763   0.274579    0.000000   0.000000    0.449181   0.655686   -0.655827   0.640757   -0.002471  -0.008101   -0.486752   0.267096   -0.000697  -0.000802   -0.340515   0.158362   -0.004653  -0.000473    0.004548   0.024414    0.005519   0.000428    0.001860   0.014045   -0.000054  -0.000394   -0.000147   0.004065   -0.000147  -0.001552   -0.000025   0.000798   -0.000000   0.000001    0.000002  -0.000000    0.000007  -0.000007   -0.000002   0.000005
 1522.0  -13.632731  13.050519    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.031319   0.296307    0.000000   0.000000    0.472387   0.705479   -0.698991   0.642217   -0.002816  -0.009280   -0.570934   0.241290   -0.000471  -0.001421   -0.399100   0.138759   -0.005694  -0.000566    0.005430   0.030263    0.006779   0.000497    0.002186   0.017568   -0.000072  -0.000513   -0.000197   0.005313   -0.000182  -0.002036   -0.000034   0.001047   -0.000001   0.000001    0.000003  -0.000000    0.000012  -0.000011   -0.000004   0.000008
 1527.0  -14.077066  11.802637    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.038552   0.316619    0.000000   0.000000    0.491533   0.751806   -0.737439   0.637197   -0.003137  -0.010438   -0.641946   0.202037   -0.000139  -0.002183   -0.449011   0.110314   -0.006769  -0.000658    0.006271   0.036460    0.008089   0.000562    0.002476   0.021359   -0.000092  -0.000642   -0.000254   0.006681   -0.000217  -0.002570   -0.000044   0.001323   -0.000001   0.000002    0.000004  -0.000001    0.000018  -0.000017   -0.000005   0.000012
 1532.0  -14.392530  10.595582    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.046475   0.335750    0.000000   0.000000    0.507151   0.795307   -0.771994   0.627225   -0.003431  -0.011578   -0.698497   0.154641    0.000306  -0.003096   -0.489406   0.076499   -0.007868  -0.000749    0.007050   0.042984    0.009437   0.000622    0.002714   0.025412   -0.000114  -0.000780   -0.000319   0.008155   -0.000249  -0.003148   -0.000055   0.001622   -0.000002   0.000003    0.000005  -0.000001    0.000026  -0.000025   -0.000007   0.000017
