       W           E0+          E0-         M0+         M0-         E1+         E1-         M1+         M1-         E2+         E2-         M2+         M2-         E3+         E3-         M3+         M3-         E4+         E4-         M4+         M4-         E5+         E5-         M5+         M5-       ErrE0+      ErrE0-      ErrM0+      ErrM0-      ErrE1+      ErrE1-      ErrM1+      ErrM1-      ErrE2+      ErrE2-      ErrM2+      ErrM2-      ErrE3+      ErrE3-      ErrM3+      ErrM3-      ErrE4+      ErrE4-      ErrM4+      ErrM4-      ErrE5+      ErrE5-      ErrM5+      ErrM5- 
    1498.334     20.8492      0.0000      0.0000      0.0000     -0.0997      0.0000     -0.1392     -0.3875     -0.0014      0.0196     -0.0174      0.0476      0.0103      0.0088      0.0172     -0.0077      0.0004      0.0003      0.0002     -0.0000      0.0000     -0.0000     -0.0000     -0.0000      0.0354      1.9944      1.9944      1.9944      0.0299      0.3072      0.0450      0.1055      0.0152      0.0349      0.0199      0.0301      0.0053      0.0068      0.0061      0.0065      0.0011      0.0011      0.0011      0.0011      0.0002      0.0002      0.0002      0.0002
    1500.961     20.7834      0.0000      0.0000      0.0000     -0.0635      0.0000     -0.1089      0.0610      0.0116      0.1564     -0.0193      0.1880      0.0055      0.0118      0.0120     -0.0044      0.0024      0.0018      0.0019     -0.0009     -0.0000     -0.0000     -0.0000      0.0000      0.0386      1.8162      1.8162      1.8162      0.0389      0.6458      0.0618      0.1448      0.0236      0.0645      0.0314      0.0510      0.0116      0.0200      0.0144      0.0179      0.0042      0.0049      0.0046      0.0047      0.0010      0.0010      0.0010      0.0010
    1513.908     19.8306      0.0000      0.0000      0.0000      0.0397      0.0000     -0.0523      0.6304      0.0206      0.3994     -0.0237      0.4161      0.0090      0.0185      0.0055     -0.0185     -0.0001      0.0116      0.0088      0.0043     -0.0016      0.0005      0.0002      0.0011      0.0465      2.3855      2.3855      2.3855      0.0367      0.8298      0.0572      0.1383      0.0233      0.0682      0.0303      0.0515      0.0149      0.0296      0.0182      0.0256      0.0078      0.0121      0.0090      0.0110      0.0033      0.0038      0.0035      0.0037
    1529.263     17.3261      0.0000      0.0000      0.0000      0.1344      0.0000      0.1126      0.8813      0.0497      0.4512     -0.0576      0.5213     -0.0059      0.0423      0.0002     -0.0478      0.0058      0.0164      0.0095     -0.0023     -0.0021      0.0000      0.0031      0.0037      0.0706      2.9332      2.9332      2.9332      0.0384      0.9640      0.0595      0.1325      0.0229      0.0625      0.0290      0.0487      0.0157      0.0312      0.0190      0.0267      0.0099      0.0163      0.0117      0.0145      0.0059      0.0079      0.0065      0.0075
    1541.850     14.8081      0.0000      0.0000      0.0000      0.1306      0.0000      0.1594      0.7668      0.0774      0.4799     -0.0814      0.4622     -0.0070      0.0180     -0.0145     -0.0414      0.0118      0.0023      0.0087     -0.0039      0.0028     -0.0045      0.0036     -0.0006      0.0875      0.7730      0.7730      0.7730      0.0385      0.2549      0.0557      0.1157      0.0212      0.0482      0.0259      0.0402      0.0118      0.0189      0.0137      0.0175      0.0057      0.0073      0.0063      0.0069      0.0025      0.0027      0.0025      0.0026
    1554.275     12.2958      0.0000      0.0000      0.0000      0.0933      0.0000      0.0849      0.4794      0.0628      0.4725     -0.1096      0.4155      0.0069      0.0016      0.0003     -0.0232      0.0038      0.0009      0.0064      0.0036      0.0007     -0.0033     -0.0035     -0.0025      0.1016      0.7209      0.7209      0.7209      0.0416      0.2943      0.0515      0.1188      0.0235      0.0557      0.0271      0.0438      0.0140      0.0231      0.0151      0.0211      0.0072      0.0099      0.0078      0.0093      0.0034      0.0040      0.0035      0.0038
    1566.482      9.8029      0.0000      0.0000      0.0000      0.0937      0.0000      0.1693      0.3552      0.0254      0.4664     -0.1070      0.3457      0.0071      0.0213      0.0116     -0.0105     -0.0013      0.0021      0.0055      0.0104      0.0057     -0.0037     -0.0070     -0.0051      0.1150      0.7423      0.7423      0.7423      0.0460      0.3298      0.0528      0.1224      0.0261      0.0630      0.0293      0.0470      0.0162      0.0272      0.0171      0.0241      0.0091      0.0129      0.0097      0.0118      0.0046      0.0056      0.0047      0.0053
    1578.535      7.4930      0.0000      0.0000      0.0000      0.0851      0.0000      0.3463      0.4545      0.0276      0.4248     -0.0909      0.2739      0.0027      0.0433      0.0076      0.0050     -0.0053      0.0130      0.0017      0.0113      0.0050     -0.0025     -0.0063     -0.0026      0.1216      0.7591      0.7591      0.7591      0.0476      0.3617      0.0524      0.1240      0.0271      0.0683      0.0300      0.0486      0.0170      0.0303      0.0181      0.0258      0.0104      0.0156      0.0110      0.0138      0.0057      0.0073      0.0059      0.0068
    1590.378      5.4941      0.0000      0.0000      0.0000      0.0889      0.0000      0.4842      0.5494      0.0487      0.3090     -0.0890      0.2725      0.0001      0.0637     -0.0097      0.0223     -0.0084      0.0220     -0.0047      0.0043      0.0023     -0.0004     -0.0013     -0.0009      0.1280      0.7725      0.7725      0.7725      0.0504      0.3903      0.0537      0.1261      0.0289      0.0722      0.0310      0.0503      0.0183      0.0327      0.0190      0.0271      0.0118      0.0175      0.0123      0.0157      0.0070      0.0090      0.0070      0.0083
    1602.017      3.7030      0.0000      0.0000      0.0000      0.1276      0.0000      0.5661      0.4631      0.0633      0.1464     -0.1008      0.3100      0.0136      0.1052     -0.0001      0.0333     -0.0117      0.0220     -0.0094      0.0052      0.0032      0.0014      0.0065     -0.0005      0.1271      0.7836      0.7836      0.7836      0.0496      0.4161      0.0510      0.1244      0.0285      0.0741      0.0296      0.0499      0.0181      0.0341      0.0179      0.0271      0.0120      0.0185      0.0127      0.0172      0.0076      0.0105      0.0076      0.0091
    1613.572      2.2414      0.0000      0.0000      0.0000      0.1219      0.0000      0.5688      0.3293      0.0758      0.0216     -0.1013      0.2985      0.0214      0.1384      0.0034      0.0669     -0.0130      0.0323     -0.0059      0.0008      0.0019     -0.0000      0.0055      0.0001      0.1286      0.7928      0.7928      0.7928      0.0505      0.4391      0.0518      0.1239      0.0291      0.0758      0.0302      0.0500      0.0185      0.0353      0.0184      0.0277      0.0126      0.0195      0.0134      0.0184      0.0083      0.0119      0.0087      0.0100
