  ###################################################################################################
  # Eta photoproduction Single Energy Solution 3 - Imaginary Part
  # Reaction: gamma p --> eta p
  # Publication: Unpublished
  # Database: data.pwatuzla.com
  ###################################################################################################     
       W           E0+            E0-            M0+            M0-            E1+            E1-            M1+            M1-            E2+            E2-            M2+            M2-            E3+            E3-            M3+            M3-            E4+            E4-            M4+             M4-           E5+            E5-            M5+            M5-            ErrE0+         ErrE0-         ErrM0+         ErrM0-         ErrE1+          ErrE1-        ErrM1+          ErrM1-        ErrE2+         ErrE2-         ErrM2+         ErrM2-         ErrE3+          ErrE3-        ErrM3+         ErrM3-         ErrE4+         ErrE4-         ErrM4+         ErrM4-         ErrE5+         ErrE5-         ErrM5+         ErrM5- 
    1498.522    18.13910190     0.00000000    -0.00000000     0.00000000     0.12151767    -0.00000000     0.35277333     0.66352301    -0.00008025     0.24314220    -0.03370391     0.16988939     0.00535262     0.00737050     0.01051978     0.00182558     0.00141090     0.00200770     0.00266315    -0.00030591    -0.00005238    -0.00003672    -0.00004307     0.00003514     0.05951008     0.00000000    -0.00000000     0.00000000     0.02882051     0.00000000     0.04454594     0.08235288     0.01713666     0.04543698     0.02256867     0.03212863     0.00884513     0.01338965     0.01043257     0.01186438     0.00269014     0.00285888     0.00276704     0.00280854     0.00053199     0.00053381     0.00053280     0.00053323
    1500.961    18.26111612     0.00000000     0.00000000     0.00000000     0.09393681     0.00000000     0.30487009     0.56559261     0.00291987     0.22616459    -0.02533619     0.15989038     0.00568310     0.00759757     0.00981757     0.00032176     0.00131785     0.00192532     0.00245940    -0.00046624    -0.00001364    -0.00001751    -0.00001436     0.00000723     0.05906168     0.00000000     0.00000000     0.00000000     0.02815065     0.00000000     0.04322131     0.08061198     0.01675788     0.04620250     0.02201881     0.03172577     0.00929915     0.01515138     0.01111204     0.01301672     0.00330887     0.00366044     0.00346039     0.00355299     0.00073657     0.00074193     0.00073891     0.00074019
    1513.908    15.39176524     0.00000000     0.00000000     0.00000000     0.19180829     0.00000000     0.46642740     0.71599310    -0.00226813     0.25197647    -0.03030339     0.21751158     0.01253587     0.01448438     0.01067579    -0.01181614    -0.00460900     0.00683516     0.00781437     0.00463020    -0.00040269    -0.00017141    -0.00018043     0.00028543     0.06495590     0.00000000     0.00000000     0.00000000     0.02806063     0.00000000     0.03883980     0.07773226     0.01650704     0.04781710     0.02056058     0.03105530     0.01054881     0.02030591     0.01247643     0.01607281     0.00578175     0.00783895     0.00632010     0.00715782     0.00213346     0.00226849     0.00217505     0.00222810
    1529.263    11.44668652     0.00000000     0.00000000     0.00000000     0.31883865     0.00000000     0.73915274     0.79585617    -0.00880895     0.20306573    -0.02596924     0.16031020     0.00574335     0.01786887    -0.00118396    -0.01736756     0.00387332     0.00826871     0.00934609     0.00151646    -0.00073411    -0.00009007     0.00071436    -0.00054071     0.06757219     0.00000000     0.00000000     0.00000000     0.02769798     0.00000000     0.03816757     0.07403064     0.01585056     0.04532389     0.01928663     0.02929790     0.01046600     0.02100971     0.01219790     0.01618943     0.00697594     0.01091491     0.00782189     0.00938905     0.00382197     0.00459168     0.00400372     0.00435193
    1541.850     8.41097101     0.00000000     0.00000000     0.00000000     0.36510671     0.00000000     0.79771225     0.59734847    -0.00971214     0.08538439    -0.02994262     0.03508842     0.01561946     0.02297023     0.00453793    -0.00178744    -0.00272348     0.00357490    -0.00704266    -0.00169646     0.00241199    -0.00361242    -0.00016891    -0.00375070     0.07150720     0.00000000     0.00000000     0.00000000     0.02871199     0.00000000     0.03694611     0.07394837     0.01649697     0.04613312     0.01934065     0.02975314     0.01091053     0.02165809     0.01228266     0.01669199     0.00760772     0.01251192     0.00847313     0.01046826     0.00488494     0.00640279     0.00516392     0.00587981
    1554.275     5.71815714     0.00000000     0.00000000     0.00000000     0.37358690     0.00000000     0.75026579     0.49928709    -0.00858589    -0.00102522    -0.01909838    -0.11213802     0.00180846     0.03383467    -0.00047087     0.03541029    -0.00426376     0.01214116    -0.00606668     0.00600674     0.00435444    -0.01225082    -0.00727532    -0.00135676     0.07532131     0.00000000     0.00000000     0.00000000     0.03003989     0.00000000     0.03435309     0.07519292     0.01727100     0.04665269     0.01933675     0.03050061     0.01137689     0.02198278     0.01222333     0.01716390     0.00796556     0.01330956     0.00863288     0.01103755     0.00553336     0.00770621     0.00579378     0.00685026
    1566.482     3.44596889     0.00000000     0.00000000     0.00000000     0.45576086     0.00000000     0.90420440     0.51280419    -0.00931271    -0.10142594    -0.01611359    -0.17939548    -0.00670805     0.07550261    -0.00163947     0.05351756    -0.00419982     0.02131889    -0.00638532     0.01232959     0.00892744    -0.01147219    -0.00636091    -0.00147762     0.07878268     0.00000000     0.00000000     0.00000000     0.03194395     0.00000000     0.03533382     0.07721977     0.01812484     0.04699182     0.01986180     0.03132800     0.01187981     0.02236303     0.01263032     0.01764971     0.00823161     0.01376683     0.00881562     0.01131728     0.00593208     0.00854246     0.00622183     0.00734849
    1578.535     1.51761666     0.00000000     0.00000000     0.00000000     0.50547624     0.00000000     1.13435597     0.51624206    -0.01775009    -0.20048599    -0.00723861    -0.23320973     0.00298590     0.11038784    -0.00233884     0.06361414    -0.00101019     0.03510755    -0.00602059     0.00969048     0.00773866    -0.00452769    -0.00088025    -0.00220447     0.07753446     0.00000000     0.00000000     0.00000000     0.03110917     0.00000000     0.03427622     0.07521739     0.01769357     0.04614008     0.01935997     0.03060920     0.01141432     0.02184977     0.01217681     0.01705541     0.00793206     0.01358502     0.00849427     0.01101087     0.00581512     0.00873997     0.00613579     0.00728027
    1590.378    -0.13179133     0.00000000     0.00000000     0.00000000     0.50202343     0.00000000     1.26241749     0.45140662    -0.02530451    -0.30379747    -0.00842843    -0.27979235     0.01533317     0.13124909    -0.00114122     0.08032163    -0.00101095     0.04141485    -0.01208484     0.00942847     0.00629447     0.00356140     0.00331475    -0.00328700     0.07695960     0.00000000     0.00000000     0.00000000     0.03131221     0.00000000     0.03480519     0.07449083     0.01790856     0.04533918     0.01941886     0.03041658     0.01146075     0.02139327     0.01213294     0.01691034     0.00794863     0.01325987     0.00838104     0.01100342     0.00577187     0.00875346     0.00601918     0.00714908
    1602.017    -1.45414435     0.00000000     0.00000000     0.00000000     0.49482684     0.00000000     1.27203457     0.34027869    -0.03902834    -0.39007873    -0.01667240    -0.31358136     0.01384799     0.14723448     0.00490376     0.11644613    -0.00485251     0.04447696    -0.01639437     0.01568125     0.00416747     0.00329176     0.00159956     0.00275648     0.07288757     0.00000000     0.00000000     0.00000000     0.02951709     0.00000000     0.03277328     0.07109666     0.01696437     0.04360381     0.01809800     0.02893390     0.01081891     0.02040545     0.01121246     0.01601354     0.00758363     0.01256930     0.00781276     0.01060473     0.00541548     0.00843328     0.00558380     0.00674991
    1613.572    -2.25185651     0.00000000     0.00000000     0.00000000     0.48433157     0.00000000     1.22612249     0.21789748    -0.04839715    -0.42258350    -0.02866196    -0.35078244     0.00411742     0.15475637     0.00256191     0.15510475    -0.00697601     0.05103773    -0.01259741     0.01526870     0.00420726     0.00002377    -0.00175752     0.00815958     0.07190293     0.00000000     0.00000000     0.00000000     0.02987688     0.00000000     0.03436621     0.07116683     0.01698713     0.04295402     0.01863902     0.02862213     0.01101864     0.02041355     0.01169501     0.01613120     0.00759286     0.01256059     0.00792327     0.01051960     0.00548085     0.00857784     0.00571814     0.00676104
