   W           E          ReE0+           ImE0+           ReE0-           ImE0-           ReM0+           ImM0+           ReM0-           ImM0-           ReE1+           ImE1+           ReE1-           ImE1-           ReM1+           ImM1+           ReM1-           ImM1-           ReE2+           ImE2+           ReE2-           ImE2-           ReM2+           ImM2+           ReM2-           ImM2-           ReE3+           ImE3+           ReE3-           ImE3-           ReM3+           ImM3+           ReM3-           ImM3-           ReE4+           ImE4+           ReE4-           ImE4-           ReM4+           ImM4+           ReM4-           ImM4-           ReE5+           ImE5+           ReE5-           ImE5-           ReM5+           ImM5+           ReM5-           ImM5-                
  1490.000   713.943   -0.156088E+02   -0.149376E+02    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   -0.211309E+00   -0.103154E-01    0.000000E+00    0.000000E+00   -0.527177E+00   -0.354849E-01   -0.165814E+01   -0.165345E+00    0.996977E-02    0.442155E-03   -0.287334E-01   -0.533445E-01    0.939971E-02    0.852548E-03    0.691185E-02   -0.251187E-01    0.496827E-03   -0.283546E-05    0.209467E-02   -0.830134E-05   -0.116293E-02    0.980815E-05   -0.579888E-03    0.536841E-07    0.243020E-03   -0.175278E-06   -0.175578E-03   -0.397175E-06    0.193369E-03    0.801351E-07   -0.643945E-04    0.446549E-08    0.000000E+00    0.000000E+00    0.388040E-05    0.158029E-08    0.000000E+00    0.000000E+00    0.565958E-04    0.129495E-09
  1495.000   721.896   -0.128587E+02   -0.170590E+02    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   -0.311104E+00   -0.156894E-01    0.000000E+00    0.000000E+00   -0.742419E+00   -0.535231E-01   -0.247841E+01   -0.265893E+00    0.213584E-01    0.106847E-02   -0.630715E-01   -0.132080E+00    0.221341E-01    0.221931E-02    0.178913E-01   -0.639440E-01    0.173536E-02   -0.112327E-04    0.743614E-02   -0.319605E-04   -0.412975E-02    0.394007E-04   -0.201747E-02    0.441875E-06    0.126670E-02   -0.119271E-05   -0.950478E-03   -0.236378E-05    0.105518E-02    0.514643E-06   -0.356728E-03    0.238462E-07    0.000000E+00    0.000000E+00    0.326120E-04    0.150015E-07    0.000000E+00    0.000000E+00    0.443586E-03    0.125569E-08
  1500.000   729.877   -0.107126E+02   -0.178345E+02    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   -0.373046E+00   -0.193669E-01    0.000000E+00    0.000000E+00   -0.854047E+00   -0.656438E-01   -0.301180E+01   -0.349780E+00    0.303430E-01    0.171545E-02   -0.894658E-01   -0.214526E+00    0.346232E-01    0.382814E-02    0.323170E-01   -0.106333E+00    0.327624E-02   -0.239526E-04    0.142757E-01   -0.665574E-04   -0.793018E-02    0.852832E-04   -0.379629E-02    0.136813E-05    0.290763E-02   -0.349624E-05   -0.226719E-02   -0.619738E-05    0.253652E-02    0.145190E-05   -0.870721E-03    0.559480E-07    0.000000E+00    0.000000E+00    0.984051E-04    0.509649E-07    0.000000E+00    0.000000E+00    0.124702E-02    0.436393E-08
  1505.000   737.883   -0.778054E+01   -0.188422E+02    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   -0.415262E+00   -0.216898E-01    0.000000E+00    0.000000E+00   -0.914979E+00   -0.736609E-01   -0.340541E+01   -0.437727E+00    0.372549E-01    0.238549E-02   -0.106827E+00   -0.297524E+00    0.468972E-01    0.570499E-02    0.516228E-01   -0.150217E+00    0.497514E-02   -0.409231E-04    0.220546E-01   -0.111605E-03   -0.122540E-01    0.148037E-03   -0.574985E-02    0.294952E-05    0.499363E-02   -0.753949E-05   -0.404854E-02   -0.121580E-04    0.456365E-02    0.305673E-05   -0.159098E-02    0.979321E-07    0.000000E+00    0.000000E+00    0.206795E-03    0.120202E-06    0.000000E+00    0.000000E+00    0.243882E-02    0.105423E-07
  1510.000   745.917   -0.609138E+01   -0.191197E+02    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   -0.445321E+00   -0.240916E-01    0.000000E+00    0.000000E+00   -0.947573E+00   -0.811680E-01   -0.369863E+01   -0.516348E+00    0.423824E-01    0.308025E-02   -0.115371E+00   -0.377665E+00    0.589859E-01    0.787770E-02    0.763465E-01   -0.193100E+00    0.674815E-02   -0.622192E-04    0.304475E-01   -0.167386E-03   -0.169207E-01    0.228868E-03   -0.778441E-02    0.522518E-05    0.737864E-02   -0.138020E-04   -0.622378E-02   -0.205189E-04    0.706690E-02    0.552228E-05   -0.250251E-02    0.146973E-06    0.000000E+00    0.000000E+00    0.360406E-03    0.234387E-06    0.000000E+00    0.000000E+00    0.395109E-02    0.210804E-07
  1515.000   753.977   -0.365558E+01   -0.194813E+02    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   -0.465472E+00   -0.257973E-01    0.000000E+00    0.000000E+00   -0.960098E+00   -0.865021E-01   -0.393188E+01   -0.604817E+00    0.459769E-01    0.380225E-02   -0.116586E+00   -0.451942E+00    0.709201E-01    0.103787E-01    0.106000E+00   -0.232522E+00    0.853851E-02   -0.879379E-04    0.392302E-01   -0.234594E-03   -0.218061E-01    0.329193E-03   -0.983927E-02    0.814075E-05    0.993972E-02   -0.227846E-04   -0.872815E-02   -0.315634E-04    0.998062E-02    0.907184E-05   -0.359068E-02    0.200235E-06    0.000000E+00    0.000000E+00    0.560060E-03    0.406279E-06    0.000000E+00    0.000000E+00    0.570041E-02    0.375092E-07
  1520.000   762.063   -0.175768E+01   -0.188590E+02    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   -0.479355E+00   -0.270231E-01    0.000000E+00    0.000000E+00   -0.962336E+00   -0.903114E-01   -0.409560E+01   -0.698833E+00    0.482540E-01    0.455288E-02   -0.112952E+00   -0.518330E+00    0.827273E-01    0.132429E-01    0.139195E+00   -0.266570E+00    0.103053E-01   -0.118159E-03    0.482346E-01   -0.314250E-03   -0.268181E-01    0.450501E-03   -0.118730E-01    0.115256E-04    0.125744E-01   -0.350040E-04   -0.115025E-01   -0.455817E-04    0.132431E-01    0.139605E-04   -0.484124E-02    0.254860E-06    0.000000E+00    0.000000E+00    0.805342E-03    0.649735E-06    0.000000E+00    0.000000E+00    0.760010E-02    0.616331E-07
  1525.000   770.177   -0.333123E+00   -0.185405E+02    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   -0.487633E+00   -0.290128E-01    0.000000E+00    0.000000E+00   -0.956896E+00   -0.950035E-01   -0.421561E+01   -0.782127E+00    0.494010E-01    0.533187E-02   -0.107234E+00   -0.576087E+00    0.944360E-01    0.165073E-01    0.174091E+00   -0.294174E+00    0.120180E-01   -0.152927E-03    0.573289E-01   -0.407706E-03   -0.318848E-01    0.594292E-03   -0.138570E-01    0.150619E-04    0.151984E-01   -0.509876E-04   -0.144930E-01   -0.628682E-04    0.167965E-01    0.204762E-04   -0.624034E-02    0.307946E-06    0.000000E+00    0.000000E+00    0.109495E-02    0.979650E-06    0.000000E+00    0.000000E+00    0.956705E-02    0.955582E-07
  1530.000   778.317    0.117849E+01   -0.178244E+02    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   -0.491144E+00   -0.305074E-01    0.000000E+00    0.000000E+00   -0.946681E+00   -0.980551E-01   -0.429690E+01   -0.878581E+00    0.495643E-01    0.614008E-02   -0.102751E+00   -0.625363E+00    0.106054E+00    0.202158E-01    0.208283E+00   -0.315042E+00    0.136894E-01   -0.181582E-03    0.664016E-01   -0.540768E-03   -0.369692E-01    0.756371E-03   -0.157727E-01    0.104499E-04    0.166589E-01    0.105836E-02   -0.177389E-01   -0.998053E-04    0.205920E-01    0.236169E-04   -0.776499E-02    0.206363E-05    0.000000E+00    0.000000E+00    0.142694E-02    0.141038E-05    0.000000E+00    0.000000E+00    0.115255E-01    0.141523E-06
  1535.000   786.483    0.243741E+01   -0.172454E+02    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   -0.490844E+00   -0.326989E-01    0.000000E+00    0.000000E+00   -0.933629E+00   -0.101539E+00   -0.434669E+01   -0.967582E+00    0.489048E-01    0.697114E-02   -0.997982E-01   -0.667975E+00    0.117638E+00    0.244086E-01    0.241205E+00   -0.329938E+00    0.152331E-01   -0.224414E-03    0.753723E-01   -0.669429E-03   -0.419874E-01    0.948704E-03   -0.176052E-01    0.125251E-04    0.188737E-01    0.134926E-02   -0.210299E-01   -0.126445E-03    0.245695E-01    0.330381E-04   -0.941953E-02    0.238807E-05    0.000000E+00    0.000000E+00    0.179888E-02    0.196106E-05    0.000000E+00    0.000000E+00    0.134089E-01    0.202636E-06
