   W        ReE0+      ImE0+      ReE0-      ImE0-      ReM0+      ImM0+      ReM0-      ImM0-      ReE1+      ImE1+      ReE1-      ImE1-      ReM1+      ImM1+      ReM1-      ImM1-      ReE2+      ImE2+      ReE2-      ImE2-      ReM2+      ImM2+      ReM2-      ImM2-      ReE3+      ImE3+      ReE3-      ImE3-      ReM3+      ImM3+       ReM3-      ImM3-     ReE4+      ImE4+      ReE4-      ImE4-      ReM4+      ImM4+      ReM4-      ImM4-                                    
1490.0  -12.20424  -17.04137    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   -0.09094   -0.03358    0.00000    0.00000   -0.31591    0.01074   -0.83498   -0.00805    0.00329    0.00000   -0.02237   -0.05370    0.00878    0.00052   -0.01550   -0.02790    0.00000    0.00000   -0.00000   -0.00000    0.00000   -0.00000    0.00000   -0.00000    0.00000    0.00000   -0.00000   -0.00000    0.00000    0.00000    0.00000   -0.00000
1510.0   -3.24797  -19.82307    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   -0.23686   -0.09744    0.00000    0.00000   -0.79665    0.01477   -2.17914   -0.29093    0.02320    0.00255   -0.02102   -0.43015    0.06758    0.00591   -0.04199   -0.23522    0.00090    0.00000   -0.00361   -0.00656    0.00000   -0.00000    0.00116   -0.00255    0.00000    0.00000   -0.00000   -0.00000    0.00000    0.00000    0.00000   -0.00000
1530.0    3.29316  -17.91119    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   -0.30666   -0.14237    0.00000    0.00000   -0.99742   -0.00336   -2.72980   -0.73641    0.03964    0.00648    0.19420   -0.66815    0.12266    0.01554    0.05273   -0.38548    0.00213    0.00000   -0.00944   -0.01859    0.00039   -0.00000    0.00294   -0.00746    0.00000    0.00000   -0.00000   -0.00000    0.00000    0.00000    0.00000   -0.00000
1550.0    7.22809  -14.28988    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   -0.35941   -0.19251    0.00000    0.00000   -1.12958   -0.03748   -2.97128   -1.27691    0.05259    0.01249    0.42779   -0.70437    0.17361    0.03084    0.17411   -0.43129    0.00354   -0.00000   -0.01716   -0.03656    0.00106   -0.00000    0.00422   -0.01495    0.00000    0.00000   -0.00000   -0.00000    0.00000    0.00000    0.00014   -0.00000
1570.0    9.01112  -10.47777    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   -0.40474   -0.25579    0.00000    0.00000   -1.23086   -0.08956   -2.93885   -1.87205    0.06180    0.02152    0.57897   -0.63723    0.21919    0.05400    0.26334   -0.41526    0.00501   -0.00000   -0.02563   -0.06109    0.00194   -0.00000    0.00502   -0.02605    0.00000    0.00000   -0.00016   -0.00000    0.00000    0.00000    0.00025   -0.00000
1590.0    9.35521   -7.11502    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   -0.44437   -0.33969    0.00000    0.00000   -1.31436   -0.16393   -2.60282   -2.42002    0.06586    0.03414    0.65200   -0.54913    0.25744    0.08738    0.31854   -0.37836    0.00655   -0.00012   -0.03376   -0.09379    0.00302    0.00000    0.00544   -0.04215    0.00000    0.00000   -0.00030   -0.00000    0.00000    0.00000    0.00047   -0.00000
1610.0    8.73282   -4.37426    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   -0.47182   -0.45308    0.00000    0.00000   -1.37969   -0.26763   -2.00359   -2.73322    0.06197    0.04915    0.67833   -0.47979    0.28325    0.13196    0.35235   -0.33684    0.00794   -0.00022   -0.03808   -0.13699    0.00427    0.00014    0.00712   -0.06624    0.00000    0.00000   -0.00043   -0.00000    0.00000    0.00000    0.00066   -0.00000
1630.0    7.05209   -2.60672    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   -0.44842   -0.59897    0.00000    0.00000   -1.42944   -0.39331   -1.37841   -2.67001    0.04762    0.06182    0.69649   -0.44732    0.28925    0.18461    0.37362   -0.29116    0.00922   -0.00052   -0.03099   -0.19245    0.00582    0.00041    0.01556   -0.10078    0.00000    0.00000   -0.00068   -0.00000    0.00000    0.00000    0.00084   -0.00000
1650.0    5.39046   -1.85955    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   -0.34351   -0.75567    0.00000    0.00000   -1.43982   -0.54025   -0.99225   -2.35141    0.02531    0.06302    0.76166   -0.42575    0.27101    0.23558    0.37546   -0.23960    0.01040   -0.00090    0.00018   -0.25402    0.00762    0.00090    0.04223   -0.14308    0.00000    0.00000   -0.00090   -0.00000    0.00000    0.00000    0.00110   -0.00000
1670.0    4.34588   -2.01013    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   -0.15807   -0.87610    0.00000    0.00000   -1.38435   -0.68581   -0.87712   -2.01862    0.00681    0.04790    0.84741   -0.33805    0.23509    0.27290    0.35534   -0.20183    0.01151   -0.00144    0.06092   -0.29845    0.00953    0.00161    0.09481   -0.17502    0.00000    0.00000   -0.00124   -0.00000    0.00000    0.00000    0.00125   -0.00010
