       W           E0+          E0-         M0+         M0-         E1+         E1-         M1+         M1-         E2+         E2-         M2+         M2-         E3+         E3-         M3+         M3-         E4+         E4-         M4+         M4-         E5+         E5-         M5+         M5-       ErrE0+      ErrE0-      ErrM0+      ErrM0-      ErrE1+      ErrE1-      ErrM1+      ErrM1-      ErrE2+      ErrE2-      ErrM2+      ErrM2-      ErrE3+      ErrE3-      ErrM3+      ErrM3-      ErrE4+      ErrE4-      ErrM4+      ErrM4-      ErrE5+      ErrE5-      ErrM5+      ErrM5- 
    1498.334      3.0300      0.0000      0.0000      0.0000      0.0277      0.0000      0.2428      0.0208     -0.0224      0.0148      0.0151      0.0151      0.0096     -0.0022     -0.0037     -0.0038     -0.0001      0.0001      0.0002      0.0001     -0.0000     -0.0000     -0.0000      0.0000      0.1505      0.0000      0.0000      0.0000      0.0574      0.0000      0.0597      0.1366      0.0248      0.0416      0.0258      0.0371      0.0063      0.0071      0.0063      0.0070      0.0011      0.0011      0.0011      0.0011      0.0002      0.0002      0.0002      0.0002
    1500.961      2.8615      0.0000      0.0000      0.0000      0.0008      0.0000      0.2115      0.0026     -0.0399     -0.0194     -0.0233      0.0625      0.0109     -0.0013      0.0001     -0.0044     -0.0012      0.0007      0.0012      0.0009      0.0000     -0.0000     -0.0000     -0.0000      0.1881      0.0000      0.0000      0.0000      0.0700      0.0000      0.0737      0.1812      0.0372      0.0890      0.0400      0.0659      0.0169      0.0238      0.0175      0.0222      0.0047      0.0051      0.0047      0.0050      0.0010      0.0010      0.0010      0.0010
    1513.908     -1.3430      0.0000      0.0000      0.0000      0.0332      0.0000      0.6445      0.1748     -0.0107     -0.1732      0.0202      0.0076      0.0144     -0.0083      0.0104     -0.0062     -0.0102      0.0029      0.0061      0.0059      0.0009     -0.0006     -0.0010     -0.0007      0.1716      0.0000      0.0000      0.0000      0.0643      0.0000      0.0675      0.1699      0.0360      0.1020      0.0396      0.0671      0.0222      0.0414      0.0237      0.0339      0.0110      0.0146      0.0112      0.0137      0.0037      0.0040      0.0037      0.0039
    1529.263     -6.0369      0.0000      0.0000      0.0000      0.0388      0.0000      0.8816      0.0471      0.0008     -0.3803      0.0035     -0.1681      0.0159     -0.0206     -0.0019     -0.0050     -0.0005     -0.0107      0.0063      0.0109      0.0014     -0.0017     -0.0017     -0.0014      0.1470      0.0000      0.0000      0.0000      0.0567      0.0000      0.0630      0.1532      0.0322      0.0946      0.0357      0.0604      0.0212      0.0434      0.0228      0.0337      0.0146      0.0232      0.0153      0.0199      0.0076      0.0095      0.0077      0.0089
    1541.850     -8.4394      0.0000      0.0000      0.0000     -0.0408      0.0000      0.8037     -0.0763      0.0369     -0.4229      0.0181     -0.3498      0.0088     -0.0218      0.0086      0.0319     -0.0022     -0.0057      0.0019      0.0082     -0.0005      0.0000     -0.0053      0.0014      0.1264      0.0000      0.0000      0.0000      0.0492      0.0000      0.0565      0.1243      0.0261      0.0573      0.0292      0.0451      0.0141      0.0212      0.0149      0.0193      0.0064      0.0078      0.0066      0.0075      0.0026      0.0027      0.0026      0.0027
    1554.275     -9.9855      0.0000      0.0000      0.0000     -0.0024      0.0000      0.8064     -0.0974      0.0187     -0.4973     -0.0167     -0.4216     -0.0020      0.0098      0.0318      0.0418     -0.0119      0.0015     -0.0001      0.0044      0.0024      0.0013     -0.0010     -0.0001      0.1095      0.0000      0.0000      0.0000      0.0444      0.0000      0.0509      0.1210      0.0244      0.0586      0.0279      0.0444      0.0144      0.0241      0.0156      0.0212      0.0075      0.0101      0.0079      0.0095      0.0035      0.0040      0.0036      0.0038
    1566.482    -10.9529      0.0000      0.0000      0.0000      0.0436      0.0000      0.9274      0.0435      0.0226     -0.6470     -0.0115     -0.4428      0.0000      0.0220      0.0409      0.0474     -0.0189      0.0023     -0.0095      0.0007      0.0007      0.0020      0.0019     -0.0002      0.0940      0.0000      0.0000      0.0000      0.0406      0.0000      0.0496      0.1167      0.0227      0.0565      0.0270      0.0425      0.0141      0.0251      0.0162      0.0217      0.0081      0.0118      0.0089      0.0110      0.0042      0.0053      0.0045      0.0049
    1578.535    -11.1836      0.0000      0.0000      0.0000      0.0654      0.0000      1.0463      0.1534      0.0494     -0.7580      0.0233     -0.3979     -0.0031      0.0108      0.0128      0.0572     -0.0160      0.0017     -0.0060     -0.0098     -0.0018      0.0008      0.0073     -0.0031      0.0776      0.0000      0.0000      0.0000      0.0361      0.0000      0.0471      0.1107      0.0204      0.0526      0.0254      0.0399      0.0133      0.0248      0.0158      0.0216      0.0082      0.0127      0.0092      0.0117      0.0046      0.0062      0.0051      0.0058
    1590.378    -10.9846      0.0000      0.0000      0.0000      0.0656      0.0000      1.0937      0.0942      0.0677     -0.8225      0.0584     -0.3523      0.0022      0.0189      0.0073      0.0657     -0.0142      0.0006      0.0012     -0.0124     -0.0017     -0.0012      0.0101     -0.0054      0.0642      0.0000      0.0000      0.0000      0.0328      0.0000      0.0461      0.1047      0.0187      0.0483      0.0246      0.0373      0.0125      0.0235      0.0155      0.0207      0.0081      0.0129      0.0095      0.0121      0.0047      0.0070      0.0056      0.0062
    1602.017    -10.5274      0.0000      0.0000      0.0000      0.0506      0.0000      1.0802     -0.0119      0.0498     -0.8470      0.0740     -0.3359      0.0004      0.0318      0.0213      0.0884     -0.0161     -0.0005      0.0092     -0.0029     -0.0013     -0.0056      0.0084     -0.0016      0.0512      0.0000      0.0000      0.0000      0.0290      0.0000      0.0439      0.0999      0.0167      0.0438      0.0231      0.0351      0.0116      0.0222      0.0152      0.0202      0.0079      0.0124      0.0093      0.0122      0.0046      0.0072      0.0058      0.0066
