       W           E0+            E0-            M0+            M0-            E1+            E1-            M1+            M1-            E2+            E2-            M2+            M2-            E3+            E3-            M3+            M3-            E4+            E4-            M4+             M4-           E5+            E5-            M5+            M5-            ErrE0+         ErrE0-         ErrM0+         ErrM0-         ErrE1+          ErrE1-        ErrM1+          ErrM1-        ErrE2+         ErrE2-         ErrM2+         ErrM2-         ErrE3+          ErrE3-        ErrM3+         ErrM3-         ErrE4+         ErrE4-         ErrM4+         ErrM4-         ErrE5+         ErrE5-         ErrM5+         ErrM5- 
    1498.522   -10.70530337    -0.00000000     0.00000000    -0.00000000     0.05907926    -0.00000000     0.42409005    -0.32242105     0.00806119    -0.14518130     0.01272650    -0.17502912     0.00376010    -0.01329019    -0.00937155     0.00135912    -0.00184755     0.00002430     0.00031188     0.00069846     0.00006258    -0.00000574    -0.00000205    -0.00003052     0.08801080    -0.00000000     0.00000000    -0.00000000     0.03543515    -0.00000000     0.04506006     0.09255142     0.01964974     0.04893771     0.02356288     0.03509587     0.00979663     0.01389262     0.01077739     0.01269421     0.00274490     0.00287335     0.00278437     0.00284379     0.00053260     0.00053397     0.00053300     0.00053365
    1500.961   -10.29356836     0.00000000     0.00000000     0.00000000     0.04852349     0.00000000     0.39856936    -0.31846257     0.00956844    -0.12967970     0.01228449    -0.16216241     0.00477108    -0.01082875    -0.00646771     0.00028102    -0.00182217    -0.00014286     0.00009722     0.00080709     0.00004727    -0.00001634    -0.00002008    -0.00001885     0.08147642     0.00000000     0.00000000     0.00000000     0.03280067     0.00000000     0.04299617     0.08803121     0.01852219     0.04938697     0.02267772     0.03405493     0.01016831     0.01578448     0.01142796     0.01392387     0.00340398     0.00368810     0.00349330     0.00361558     0.00073815     0.00074237     0.00073947     0.00074125
    1513.908   -12.56375631     0.00000000     0.00000000     0.00000000     0.02861816     0.00000000     0.57025044    -0.70898823    -0.01186678    -0.37673979     0.01818750    -0.31363544     0.00287723    -0.01198448    -0.00061042    -0.00279032    -0.00445265    -0.00241851     0.00266564     0.00269221     0.00097970    -0.00028289    -0.00034255    -0.00070339     0.06708851     0.00000000     0.00000000     0.00000000     0.02825738     0.00000000     0.03921671     0.07906278     0.01653571     0.04835103     0.02091519     0.03132166     0.01065802     0.02041117     0.01246985     0.01635820     0.00584422     0.00788933     0.00635491     0.00720940     0.00213708     0.00227012     0.00217742     0.00223076
    1529.263   -14.29937289     0.00000000     0.00000000     0.00000000     0.00813614     0.00000000     0.68351872    -0.82895665    -0.01667806    -0.61707299     0.01723765    -0.48686028     0.00380643    -0.02458535    -0.01097027     0.01605750    -0.01119422    -0.00585915    -0.00433148     0.00222624     0.00148208    -0.00119484    -0.00105838    -0.00155057     0.05240751     0.00000000     0.00000000     0.00000000     0.02439384     0.00000000     0.03881461     0.07035543     0.01412903     0.04036264     0.01852836     0.02686800     0.00959551     0.01883470     0.01158397     0.01499491     0.00632634     0.00997026     0.00720386     0.00850124     0.00358435     0.00442197     0.00385416     0.00410599
    1541.850   -14.76875371     0.00000000     0.00000000     0.00000000    -0.06617452     0.00000000     0.58365648    -0.89679050    -0.01458271    -0.73916157     0.01559638    -0.61210627     0.00312937     0.00758899     0.00870175     0.02794049    -0.01691114    -0.00205328    -0.00862865     0.01124024     0.00136583    -0.00086077    -0.00223342     0.00444195     0.04547560     0.00000000     0.00000000     0.00000000     0.02265334     0.00000000     0.03762361     0.06647147     0.01320448     0.03666889     0.01756802     0.02504962     0.00910320     0.01774225     0.01126568     0.01432723     0.00627709     0.01024803     0.00727098     0.00866069     0.00414223     0.00569117     0.00464015     0.00509427
    1554.275   -14.69260660     0.00000000     0.00000000     0.00000000    -0.07103710     0.00000000     0.58929594    -0.88703665    -0.01377527    -0.82277059     0.02877731    -0.64554360    -0.01860392     0.03505443     0.01180862     0.03742228    -0.01314956     0.00315467    -0.00116418     0.01089650     0.00251471     0.00389941     0.00572088     0.00894785     0.03864415     0.00000000     0.00000000     0.00000000     0.02022098     0.00000000     0.03339667     0.06310909     0.01192430     0.03288714     0.01601426     0.02328556     0.00824572     0.01614625     0.01036063     0.01351627     0.00577750     0.00965921     0.00677103     0.00829903     0.00404930     0.00606806     0.00471019     0.00535483
    1566.482   -14.16527298     0.00000000     0.00000000     0.00000000    -0.08722451     0.00000000     0.62152524    -0.89161705    -0.00332671    -0.85935172     0.03821323    -0.62692124    -0.01652428     0.03808565     0.01351008     0.03049197    -0.01265805     0.00293784    -0.00545675     0.00593801    -0.00286482     0.00673622     0.00911967     0.00854528     0.03585205     0.00000000     0.00000000     0.00000000     0.01927366     0.00000000     0.03228481     0.06068433     0.01133295     0.03081325     0.01540500     0.02228568     0.00786053     0.01531343     0.00994540     0.01294926     0.00556194     0.00932011     0.00660967     0.00808806     0.00399120     0.00619181     0.00474086     0.00542080
    1578.535   -13.22842580     0.00000000     0.00000000     0.00000000    -0.14464585     0.00000000     0.58273654    -0.95560037    -0.00826662    -0.82721035     0.04027941    -0.60145387    -0.00883942     0.01058096     0.00817189     0.02862262    -0.00797690     0.00462451    -0.00129194    -0.00488767    -0.00409085     0.00666541     0.01080093     0.00019215     0.03187305     0.00000000     0.00000000     0.00000000     0.01746802     0.00000000     0.03023556     0.05748877     0.01034932     0.02883719     0.01436916     0.02105180     0.00728543     0.01444365     0.00932425     0.01233194     0.00520851     0.00886910     0.00626160     0.00773841     0.00375567     0.00597382     0.00451051     0.00520199
    1590.378   -12.11057144     0.00000000     0.00000000     0.00000000    -0.22022212     0.00000000     0.49839445    -1.11149302    -0.01452733    -0.75447079     0.03403095    -0.58122818    -0.00547391    -0.00294389     0.01514281     0.01916637    -0.00789727     0.00640880     0.00457263    -0.00662601    -0.00249162     0.00220976     0.01033047    -0.00373440     0.03180601     0.00000000     0.00000000     0.00000000     0.01692090     0.00000000     0.02956626     0.05525156     0.01001700     0.02789048     0.01434149     0.02025862     0.00708642     0.01397667     0.00921612     0.01192192     0.00517724     0.00871835     0.00619569     0.00765711     0.00369109     0.00596367     0.00449190     0.00514492
    1602.017   -10.86656845     0.00000000     0.00000000     0.00000000    -0.30169773     0.00000000     0.39948959    -1.18324510    -0.01585148    -0.68846910     0.03373764    -0.54229204    -0.02135066    -0.01419156     0.01584015     0.01473860    -0.01380622     0.00650095     0.00792419    -0.00339104    -0.00384711    -0.00456839     0.00631662    -0.00149335     0.03321271     0.00000000     0.00000000     0.00000000     0.01658810     0.00000000     0.02822044     0.05372283     0.00967465     0.02718886     0.01374933     0.01977010     0.00685303     0.01359832     0.00890067     0.01176164     0.00507357     0.00848154     0.00604121     0.00760850     0.00369090     0.00586539     0.00442008     0.00518594
